profunctor_id,profunctor_code,profunctor_name,source_object_code,target_object_code,source_count,target_count,support_entry_count,positive_entry_count,total_num,total_den,row_sum_one_flag,deterministic_flag,source_sha256
0,0,pair_owner,2,3,970225,259,970225,970225,970225,1,1,1,608b99831d44e613c6d851e09927b4f927f8ab7d20474736dc25f4eb8a3ca300
1,1,owner_weak,3,4,259,13,259,259,259,1,1,1,ce0df090726cc28d5986aa79e8fed3c80aa42ef85418fb47493bf465c487a47e
2,2,active_owner_component,5,6,51,3,51,51,51,1,1,1,c9cd899a44a06ae94188b78cfb088c896d51f773b7e264f290e9d8e8345af7f5
3,3,inactive_owner_component,3,6,208,3,624,624,208,1,1,0,25d7a17fa885ca9cb5081b398fb5f5d25aeb23ac954cd24c7789784cca8dfd4e
4,4,owner_component_total,3,6,259,3,777,675,259,1,1,0,4b7bf49854c10856afab47df6569e49712192f942079140f11bdbec9435cb9a6
5,5,boundary_stationary,0,6,1,3,3,3,1,1,1,0,1bde2deecd1df9ff92f129d5497d88f02c43d1f9d595f8d200cc11ebbcf07e1d
6,6,component_kernel,6,6,3,3,9,9,3,1,1,0,28ced368612f1b7608c3116aafc71574b3033229ec979c18c04f699ac37e26b5
7,7,path_sum_distribution,7,8,8,80,80,80,8,1,1,0,25fa5327531aba62074435e2d38aceb1902a7e6d2fa823c31e52c37aa0cbf228
