basis_id,component_id,prob_num,prob_den,prob_num_digits,prob_den_digits,prob_num_mod_1000000007,prob_den_mod_1000000007,prob_num_mod_1000000009,prob_den_mod_1000000009,prob_sha256,active_owner_flag,dominant_component_flag,positive_flag
4,1,14071318359208335619335603601909608468033392469889308810192689089269650911096507957805527680269988696058269554918718547122230788968727581615242694736735760449314468892588710157432609566958276775402739140105612803561969853454885673186781149269996185182876,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,11463087,253126048,858768221,867253560,ad575c3efc6165b1f46f753f1acf9abbf61b1c84ae34e246b6e2c66c64a59f2e,0,0,1
4,2,326745502538916224880856236966319515351740695085929493096693022650129701859774261826425258602733548248886091321538776175057712454158643143201952725859505357514170583892050733893877775177832525983379544307493307855600181342007093201326277014530122178881,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,252,254,506137466,253126048,659358332,867253560,ec13dfe0070fdf43d77b11106d7eb58b7e03a615bad2b7c48086d8a7fb0affb6,0,0,1
5,0,1,1,1,1,1,1,1,1,253d950f11ebdbeb4c2d54c57803deb69869b832a2e03010620d462a85d15290,1,1,1
5,1,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
5,2,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
6,0,28682561591805576586782567619295616776480713270668658473973270059457112651359575059899832243655906469910508481350932036942854081654007588797040138675741665890590921859295279132982853771344715801604232398604191052891688776000332265746846791727326524539531,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,381439322,253126048,669215851,867253560,c384502c4129a0148db7913fe92f98a2d416d18bda75ac23d887b0da81ef1ec6,0,1,1
6,1,110730226245782402842895412008475761063678777655672030548940991802518071076050281200835484271280414621215862844871611845306235091701763827874819081325936974145664046785373174087538633715834869164452460408826900188646963158449205266624222741538560,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,246,254,641007153,253126048,721699471,867253560,54dc1bc8b1c52faf7e0c9c4506e8504739e2bbb506be8acdeb415b5d60a8c5f2,0,0,1
6,2,27093043202718800722381064570078195218482060280557986255993395829686220953943213220201051606640020647893765946739496904022682695242780203940829813969928680669081077990517438651670712054971666763132523517216466414168584114968990552544427353233707876040,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,251,254,230679580,253126048,476338247,867253560,dd7c3fc09aeba31ce5473acdadc0e42519b4981113da7ee7a19bc6ffdd92e42a,0,0,1
7,0,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
7,1,1,1,1,1,1,1,1,1,253d950f11ebdbeb4c2d54c57803deb69869b832a2e03010620d462a85d15290,1,1,1
7,2,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
