object_id,object_code,object_name,address_count,tensor_power,source_object_code
0,0,unit,1,0,-1
1,1,line_addr,985,1,-1
2,2,line_pair,970225,2,1
3,3,owner_basis,259,0,2
4,4,weak_class,13,0,3
5,5,active_owner,51,0,3
6,6,boundary_component,3,0,5
7,7,sample_horizon,8,0,6
8,8,deviation_state,80,0,7
