cycle_edge_id,atom_a,atom_b,stress_undirected_flag,stress_forward_flag,stress_reverse_flag
0,0,1,0,0,0
1,1,2,1,0,1
2,2,3,0,0,0
3,3,4,0,0,0
4,4,5,1,0,1
5,5,6,0,0,0
6,6,7,0,0,0
7,7,8,1,0,1
8,8,9,1,1,1
9,9,10,1,0,1
10,10,11,1,1,1
11,11,12,1,1,0
12,12,13,0,0,0
13,13,14,0,0,0
14,14,15,1,1,1
15,15,16,0,0,0
16,16,17,0,0,0
17,17,18,1,1,0
18,18,19,0,0,0
19,0,19,1,1,1
