component_id,component_value,weight_num,weight_den,weight_num_digits,weight_den_digits,weight_num_mod_1000000007,weight_den_mod_1000000007,weight_num_mod_1000000009,weight_den_mod_1000000009,weight_sha256
0,0,671,2292,3,4,671,2292,671,2292,e81c26500a379fdce10dfa193d7035a9f3156e5e992df215abf367107e194a3c
1,1,36,191,2,3,36,191,36,191,b8f97e8a1dab0e7ef9641334ddbcf89b3007747d418739e687770047eac54d0c
2,2,1189,2292,4,4,1189,2292,1189,2292,3d0f7e6948449981c03991896ade13db700e4a8d6152dd0815a4a32f18c5879f
