equiv_id,transcript_id,derived_selected_opening_id,wire_selected_opening_id,derived_residual_class_code,wire_residual_class_code,derived_selector_value_mod,wire_selector_value_mod,transcript_only_bytes,wire_row_bytes,derived_match_flag,public_table_equivalence_flag
0,0,5,5,27,27,5,5,1,4,1,1
1,1,10,10,11,11,0,0,1,4,1,1
2,2,11,11,45,45,0,0,1,4,1,1
3,3,12,12,26,26,0,0,1,4,1,1
4,4,13,13,38,38,0,0,1,4,1,1
5,5,14,14,42,42,0,0,1,4,1,1
6,6,15,15,41,41,0,0,1,4,1,1
7,7,16,16,44,44,0,0,1,4,1,1
8,8,17,17,36,36,0,0,1,4,1,1
9,9,18,18,25,25,0,0,1,4,1,1
10,10,20,20,7,7,1,1,1,4,1,1
11,11,21,21,52,52,0,0,1,4,1,1
12,12,23,23,37,37,0,0,1,4,1,1
13,13,25,25,40,40,0,0,1,4,1,1
14,14,28,28,1,1,1,1,1,4,1,1
15,15,30,30,23,23,1,1,1,4,1,1
16,16,31,31,3,3,0,0,1,4,1,1
17,17,33,33,43,43,0,0,1,4,1,1
18,18,35,35,8,8,0,0,1,4,1,1
19,19,36,36,31,31,0,0,1,4,1,1
20,20,37,37,10,10,0,0,1,4,1,1
21,21,40,40,18,18,1,1,1,4,1,1
22,22,41,41,34,34,0,0,1,4,1,1
23,23,44,44,13,13,1,1,1,4,1,1
24,24,45,45,50,50,0,0,1,4,1,1
25,25,47,47,15,15,0,0,1,4,1,1
26,26,49,49,17,17,1,1,1,4,1,1
27,27,50,50,21,21,0,0,1,4,1,1
28,28,52,52,29,29,0,0,1,4,1,1
29,29,53,53,12,12,0,0,1,4,1,1
30,30,54,54,2,2,0,0,1,4,1,1
31,31,55,55,24,24,0,0,1,4,1,1
32,32,56,56,47,47,0,0,1,4,1,1
33,33,57,57,54,54,0,0,1,4,1,1
34,34,58,58,55,55,0,0,1,4,1,1
35,35,60,60,22,22,0,0,1,4,1,1
36,36,61,61,51,51,0,0,1,4,1,1
37,37,62,62,48,48,0,0,1,4,1,1
38,38,63,63,33,33,0,0,1,4,1,1
39,39,65,65,32,32,1,1,1,4,1,1
40,40,66,66,30,30,0,0,1,4,1,1
41,41,68,68,6,6,0,0,1,4,1,1
42,42,70,70,9,9,0,0,1,4,1,1
43,43,72,72,46,46,0,0,1,4,1,1
44,44,73,73,53,53,0,0,1,4,1,1
45,45,76,76,4,4,1,1,1,4,1,1
46,46,77,77,16,16,0,0,1,4,1,1
47,47,79,79,14,14,0,0,1,4,1,1
48,48,80,80,35,35,0,0,1,4,1,1
49,49,82,82,0,0,1,1,1,4,1,1
50,50,83,83,5,5,0,0,1,4,1,1
51,51,85,85,19,19,0,0,1,4,1,1
52,52,86,86,49,49,0,0,1,4,1,1
53,53,88,88,20,20,1,1,1,4,1,1
54,54,89,89,28,28,0,0,1,4,1,1
55,55,90,90,39,39,0,0,1,4,1,1
