observable_id,observable_code,value
0,0,2
1,1,2
2,2,20
3,3,90
4,4,17
5,5,17
6,6,77
7,7,3
8,8,6
9,9,3
10,10,13
11,11,1
12,12,0
13,13,0
14,14,0
15,15,0
16,16,2
