package,layer,invariant,value,status,source,result,artifact
cadical_drat_trace_typed_c,prior,cadical_drat_evidence_ledger,imported,HASHED_IN_CERTIFICATE,prior/running_ledger.csv,PRIOR_IMPORTED,prior/running_ledger.csv
cadical_drat_trace_typed_c,external_solver_evidence,strong_bundle_files,21,CERTIFIED_BY_REPLAY,audit/external_analysis.json,EVIDENCE_PRESENT,external_solver_evidence_bundle_strong_cadical/
cadical_drat_trace_typed_c,external_solver_evidence,parsed_external_events,88,CERTIFIED_BY_REPLAY,audit/external_analysis.json,EVIDENCE_PRESENT,external_solver_evidence_bundle_strong_cadical/
cadical_drat_trace_typed_c,external_solver_evidence,nonempty_external_routes,10,CERTIFIED_BY_REPLAY,audit/external_analysis.json,EVIDENCE_PRESENT,external_solver_evidence_bundle_strong_cadical/
cadical_drat_trace_typed_c,external_solver_evidence,DRAT_proofs_verified,5/5,CERTIFIED_BY_DRAT_TRIM,audit/strong_cadical_drat_verification_summary.csv,VERIFIED,external_solver_evidence_bundle_strong_cadical/
cadical_drat_trace_typed_c,external_solver_ordered_route,strong_cadical_rank_F2,5,CERTIFIED_BY_REPLAY,audit/external_analysis.json,EVIDENCE_PRESENT,external_solver_evidence_bundle_strong_cadical/
cadical_drat_trace_typed_c,external_solver_ordered_route,strong_cadical_rank_F3,5,CERTIFIED_BY_REPLAY,audit/external_analysis.json,EVIDENCE_PRESENT,external_solver_evidence_bundle_strong_cadical/
cadical_drat_trace_typed_c,external_solver_ordered_route,strong_cadical_rank_F5,5,CERTIFIED_BY_REPLAY,audit/external_analysis.json,EVIDENCE_PRESENT,external_solver_evidence_bundle_strong_cadical/
cadical_drat_trace_typed_c,proof_route_cvx,proofs_audited,5,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,C_PUBLIC_PROOF_TRACE,proof_artifact/cvx_proof_route_audit.md
cadical_drat_trace_typed_c,proof_route_cvx,proof_steps,83,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,C_PUBLIC_PROOF_TRACE,proof_artifact/cvx_proof_route_audit.md
cadical_drat_trace_typed_c,proof_route_cvx,C_steps,83,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,C_PUBLIC_PROOF_TRACE,proof_artifact/cvx_proof_route_audit.md
cadical_drat_trace_typed_c,proof_route_cvx,V_steps,0,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,NOT_DETECTED,proof_artifact/cvx_proof_route_audit.md
cadical_drat_trace_typed_c,proof_route_cvx,X_steps,0,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,NOT_DETECTED,proof_artifact/cvx_proof_route_audit.md
cadical_drat_trace_typed_c,proof_route_cvx,extension_variables,0,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,NOT_DETECTED,proof_artifact/cvx_proof_route_audit.md
cadical_drat_trace_typed_c,proof_route_cvx,red_flags,0,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,CLEAR,proof_artifact/cvx_proof_route_audit.md
cadical_drat_trace_typed_c,theorem_route,supplied_cadical_drat_trace_type,C,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,C_PUBLIC_PROOF_TRACE,proof_artifact/cvx_proof_route_audit.md
cadical_drat_trace_typed_c,theorem_route,X_extractor_present,false,CERTIFIED_BY_TRACE_CLASSIFICATION,audit/cvx_proof_route_audit.json,NOT_DETECTED,proof_artifact/cvx_proof_route_audit.md
cadical_drat_trace_typed_c,theorem_route,e33_extraction_present,false,CERTIFIED_BY_TRACE_CLASSIFICATION,audit/cvx_proof_route_audit.json,NOT_DETECTED,proof_artifact/cvx_proof_route_audit.md
