pair,source_axis,target_axis,support_pairs,weighted_sum,row_degree_min,row_degree_max,col_degree_min,col_degree_max,row_weight_min,row_weight_max,col_weight_min,col_weight_max,max_fiber_count,max_fiber_weight,diag_pairs,diag_weight,forward_pairs,forward_weight,reverse_pairs,reverse_weight,closure_pairs,closure_extra,closure_flag
0,0,1,198029,2537360,76,284,76,284,76,4864,76,4864,48,688,297,6904,106955,1257999,91371,1286265,848253,650224,1
1,0,2,198029,2537360,76,284,76,284,76,4864,2576,2576,48,64,985,15456,99507,1258647,99507,1294169,584127,386098,1
2,1,2,198029,2537360,76,284,76,284,76,4864,2576,2576,48,64,985,15456,99507,1258699,99507,1294117,950757,752728,1
