round_depth,transcript_count,move_family_count,honest_move_family_count,tamper_move_family_count,strategy_words_per_transcript,accepted_words_per_transcript,rejected_words_per_transcript,total_strategy_words,accepted_strategy_words,rejected_strategy_words,verifier_payoff_total,prover_payoff_total,accept_ratio_numerator,accept_ratio_denominator
1,56,6,1,5,6,1,5,336,56,280,336,56,1,6
2,56,6,1,5,36,1,35,2016,56,1960,2016,56,1,36
3,56,6,1,5,216,1,215,12096,56,12040,12096,56,1,216
4,56,6,1,5,1296,1,1295,72576,56,72520,72576,56,1,1296
5,56,6,1,5,7776,1,7775,435456,56,435400,435456,56,1,7776
6,56,6,1,5,46656,1,46655,2612736,56,2612680,2612736,56,1,46656
7,56,6,1,5,279936,1,279935,15676416,56,15676360,15676416,56,1,279936
8,56,6,1,5,1679616,1,1679615,94058496,56,94058440,94058496,56,1,1679616
