carrier_mask_class_id,carrier_atom_mask,nodal_sign,signature_class_count,stationary_mass_x1e12,active_atom_count,carrier_center_x_x1e12,carrier_center_y_x1e12,carrier_center_radius_x1e12,axis_coordinate_x1e12,coordinate_minus_best_threshold_x1e12,projected_x_x1e12,projected_y_x1e12,projection_residual_x1e12,zero_threshold_prediction,best_threshold_prediction,zero_threshold_matches_nodal,best_threshold_matches_nodal,axis_order_rank,carrier_atom_id_0,carrier_atom_id_1,carrier_atom_id_2,carrier_atom_id_3
0,2,1,10,4253400200,1,60477077300,-211252190800,219738401279,201679395919,253223179599,77995050615,-39920915630,352612226540,1,1,1,1,2,1,-1,-1,-1
1,16,1,14,6165581828,1,90849806600,-181563331700,203024458569,256776285220,308320068899,105077061855,-43103557995,285182652046,1,1,1,1,1,4,-1,-1,-1
2,128,1,22,30653459342,1,-16669601900,78213640600,79970302009,-12365330579,39178453100,-28056829127,-27902095994,213895608257,-1,1,0,1,9,7,-1,-1,-1
3,146,1,29,183473722669,3,44885760667,-104867293967,114069631605,149914376927,201458160606,52433311164,-36959299369,137725127333,1,1,1,1,4,1,4,7,-1
4,2048,-1,12,4001494860,1,45857209800,-122436507500,130742426394,155571000967,207114784646,55231042358,-37281443769,172991524046,1,1,0,0,3,11,-1,-1,-1
5,4096,-1,14,32609072370,1,-164396496300,-29281239900,166983828576,-286337600727,-234793817047,-162768701283,-13653886145,32303751873,-1,-1,1,1,14,12,-1,-1,-1
6,6144,-1,6,28516604784,2,-59269643250,-75858873700,96267644253,-63952303291,-12408519612,-53635694933,-25109076124,102734864463,-1,-1,1,1,11,11,12,-1,-1
7,6146,-1,10,84796045230,3,-19354069733,-120989979400,122528180964,25649971417,77193755096,-9187300453,-29988851657,184354619475,1,1,0,0,7,1,11,12,-1
8,6160,-1,7,59073806638,3,-9229826633,-111093693033,111476447429,43554955090,95098738769,-298434119,-30979612550,162132241781,1,1,0,0,6,4,11,12,-1
9,524288,-1,30,25709462040,1,-37660884300,141814586300,146730089258,-65261173255,-13717389576,-54284017172,-25038818147,338024125115,-1,-1,1,1,12,19,-1,-1,-1
10,524416,1,8,35814639910,2,-27165243100,110014113450,113318381522,-39135264067,12408519612,-41336111185,-26446969002,275628482174,-1,1,0,1,10,7,19,-1,-1
11,524434,1,20,235667754700,4,24249099425,-43196823900,49537707032,95149700746,146693484426,25304725129,-33861122821,18830038433,1,1,1,1,5,1,4,7,19
12,526464,1,18,130078549560,3,-2824425467,32530573133,32652956491,24534534025,76078317704,-9741057622,-29927293720,125725908659,1,1,1,1,8,7,11,19,-1
13,528384,-1,21,139186405869,2,-101028690300,56266673200,115640541233,-174786314178,-123242530499,-108337298328,-19273920179,153594469828,-1,-1,1,1,13,12,19,-1,-1
