observable_id,observable_code,value_x1e12,aux_id
0,0,171447126521,-1
1,1,85723563261,-1
2,2,-21920116945,-1
3,3,-28578291790,-1
4,4,36016805640,-1
5,5,85723563261,-1
6,6,-85723563261,-1
7,7,-51543783679,-1
8,8,15,-1
9,9,162,-1
10,10,785660554020,-1
11,11,733031674208,-1
12,12,192,-1
13,13,852128653272,-1
14,14,868778280543,-1
15,15,29,-1
16,16,147871346728,-1
17,17,85897163407,-1
18,18,-85040731263,-1
19,19,827040709152,-1
20,20,163636363636,-1
21,21,131316550327,-1
22,22,125701373183,-1
23,23,352612226540,-1
24,24,18830038433,-1
25,25,3,-1
