language_edge_id,source_language_node_rank,target_language_node_rank,source_rewrite_node_id,target_rewrite_node_id,transition_count,ambient_rewrite_distance,source_signature_union_count,target_signature_union_count,signature_union_delta_abs
0,0,1,20,5,1,1,146,146,0
1,1,2,5,1,1,1,146,90,56
2,2,3,1,8,1,1,90,126,36
3,3,4,8,23,1,1,126,116,10
4,4,5,23,32,1,1,116,175,59
5,5,6,32,51,1,1,175,132,43
6,6,7,51,48,1,1,132,132,0
