language_node_rank,rewrite_node_id,aperture_node_id,ambient_rewrite_distance_to_aperture,nearest_aperture_flag,language_boundary_flag,signature_union_count,aperture_signature_union_count,signature_gap_to_aperture
0,20,44,2,1,1,146,185,39
1,5,44,2,1,0,146,185,39
2,1,44,3,0,0,90,185,95
3,8,44,3,0,0,126,185,59
4,23,44,3,0,0,116,185,69
5,32,44,2,1,0,175,185,10
6,51,44,2,1,0,132,185,53
7,48,44,2,1,1,132,185,53
