language_transition_id,from_window_id,to_window_id,source_rewrite_node_id,target_rewrite_node_id,source_language_node_rank,target_language_node_rank,self_loop_flag,language_edge_metric_flag,ambient_rewrite_distance
1,1,2,20,5,0,1,0,1,1
2,2,3,5,1,1,2,0,1,1
3,3,4,1,8,2,3,0,1,1
4,4,5,8,23,3,4,0,1,1
5,5,6,23,32,4,5,0,1,1
6,6,7,32,32,5,5,1,0,0
7,7,8,32,51,5,6,0,1,1
8,8,9,51,51,6,6,1,0,0
9,9,10,51,51,6,6,1,0,0
10,10,11,51,51,6,6,1,0,0
11,11,12,51,48,6,7,0,1,1
