observable_id,observable_code,value_x1e12,aux_id
0,0,8,0
1,1,7,0
2,2,11,0
3,3,4,0
4,4,2,0
5,5,7,0
6,6,4,0
7,7,0,0
8,8,10,0
9,9,3,0
10,10,5,0
11,11,7,0
12,12,2,0
13,13,44,0
14,14,185,0
15,15,175,0
16,16,10,0
17,17,2,0
18,18,43,0
19,19,20,0
