language_node_rank,rewrite_node_id,canonical_symbol_bitset,language_degree,language_boundary_flag,source_to_branch_window_count,first_window_id,last_window_id,rewrite_complex_degree,sector_coverage_count,signature_union_count,distance_to_aperture_node,nearest_aperture_flag,ambient_eccentricity_within_language
0,20,33,1,1,1,1,1,10,5,146,2,1,3
1,5,33,2,0,1,2,2,10,5,146,2,1,3
2,1,3,2,0,1,3,3,10,4,90,3,0,3
3,8,11,2,0,1,4,4,15,5,126,3,0,2
4,23,10,2,0,1,5,5,10,5,116,3,0,3
5,32,42,2,0,2,6,7,15,6,175,2,1,2
6,51,40,2,0,4,8,11,10,5,132,2,1,3
7,48,40,1,1,1,12,12,10,5,132,2,1,3
