a985_simple,dim,A42_0_sign_obj0,A42_1_sign_obj1,A42_2_matrix6,A42_3_sign_obj2,A42_4_sign_obj4,A42_5_sign_obj5,A42_6_sign_obj3
0,5,1,0,0,1,0,0,3
1,5,0,0,0,1,1,1,2
2,8,0,0,0,1,0,4,3
3,10,3,1,0,0,2,3,1
4,5,0,0,0,1,0,2,2
5,3,0,0,0,0,0,0,3
6,2,0,0,0,0,1,1,0
7,4,0,0,0,0,1,2,1
8,3,1,0,0,1,0,0,1
9,4,0,1,0,1,0,2,0
10,11,2,1,0,0,2,4,2
11,1,0,0,0,0,0,0,1
12,3,0,0,0,0,0,1,2
13,6,1,0,0,1,1,2,1
14,2,0,0,0,1,0,1,0
15,12,1,1,0,1,2,4,3
16,3,1,0,0,0,1,0,1
17,4,2,0,0,1,1,0,0
18,10,1,0,0,1,2,2,4
19,2,1,0,0,0,1,0,0
20,1,0,0,0,0,0,0,1
21,2,1,0,0,0,1,0,0
22,4,1,0,0,0,2,1,0
23,1,0,1,0,0,0,0,0
24,6,0,0,1,0,0,0,0
25,1,0,0,0,0,1,0,0
26,2,0,0,0,0,0,1,1
27,2,0,1,0,0,0,1,0
28,4,0,1,0,1,0,0,2
29,5,0,0,0,0,2,2,1
30,4,1,1,0,0,1,1,0
31,4,0,0,0,0,0,3,1
32,2,0,0,0,1,0,1,0
33,1,0,1,0,0,0,0,0
34,1,0,1,0,0,0,0,0
35,4,1,0,0,0,2,0,1
36,1,0,0,0,0,1,0,0
37,9,2,2,0,0,2,2,1
38,2,0,1,0,0,0,0,1
