A12_0,A12_1,A12_2,A12_3
0,0,1,0
0,1,1,1
0,2,0,1
0,0,0,1
0,0,1,0
0,1,0,0
0,1,0,0
0,0,1,0
0,0,2,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,1,2
0,1,0,0
0,0,0,1
0,0,1,0
0,0,2,3
0,0,1,0
0,0,1,0
0,2,1,0
1,1,1,1
0,0,0,1
0,0,2,2
0,1,0,0
0,2,1,0
0,1,2,4
0,0,0,1
0,2,1,0
0,2,1,0
0,0,0,3
0,1,1,1
0,1,0,0
0,0,0,1
0,1,0,0
