A42_0,A42_1,A42_2,A42_3,A42_4,A42_5,A42_6
0,0,0,1,0,0,0
1,0,0,0,0,1,1
1,1,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,1,2
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,1,0,0
0,0,0,1,1,1,0
0,1,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,0,0,1,1,2,1
0,0,0,1,0,0,0
0,0,0,1,0,0,0
1,1,0,0,0,0,1
0,0,1,0,0,0,0
0,0,0,0,0,1,0
0,0,0,1,1,1,1
1,0,0,0,0,0,0
1,1,0,1,0,0,0
1,0,0,0,2,2,2
0,0,0,0,1,0,0
2,0,0,0,0,0,1
1,1,0,0,0,0,1
0,0,0,0,2,1,0
0,1,0,1,1,0,0
1,0,0,0,0,0,0
0,0,0,0,0,1,0
0,1,0,0,0,0,0
