expansion_id,object,local_pre_idempotent,local_relation_index,relation_id,coefficient_mod,coefficient_signed,e33_match_flag
0,1,12,4,155,343751,343751,1
1,1,12,5,156,656252,-343751,1
2,1,12,6,157,656252,-343751,1
3,1,12,7,158,343751,343751,1
4,1,12,8,159,343751,343751,1
5,1,12,9,160,656252,-343751,1
6,1,12,10,161,656252,-343751,1
7,1,12,11,162,343751,343751,1
8,1,12,12,163,968753,-31250,1
9,1,12,13,164,656252,-343751,1
10,1,12,14,165,343751,343751,1
11,1,12,15,166,31250,31250,1
12,5,6,5,886,835940,-164063,1
13,5,6,9,890,835940,-164063,1
14,5,6,12,893,492189,492189,1
15,5,6,14,895,164063,164063,1
16,5,6,15,896,835940,-164063,1
17,5,6,16,897,164063,164063,1
18,5,6,26,907,164063,164063,1
19,5,6,27,908,164063,164063,1
20,5,6,28,909,835940,-164063,1
21,5,6,29,910,835940,-164063,1
22,5,6,31,912,507814,-492189,1
23,5,6,35,916,835940,-164063,1
24,5,6,36,917,492189,492189,1
25,5,6,40,921,164063,164063,1
26,5,6,42,923,835940,-164063,1
27,5,6,45,926,835940,-164063,1
28,5,6,46,927,164063,164063,1
29,5,6,47,928,164063,164063,1
30,5,6,49,930,835940,-164063,1
31,5,6,51,932,835940,-164063,1
32,5,6,53,934,507814,-492189,1
33,5,6,54,935,164063,164063,1
34,5,6,57,938,164063,164063,1
35,5,6,59,940,492189,492189,1
36,5,6,60,941,835940,-164063,1
37,5,6,62,943,835940,-164063,1
38,5,6,64,945,835940,-164063,1
39,5,6,70,951,164063,164063,1
40,5,6,73,954,164063,164063,1
41,5,6,74,955,164063,164063,1
42,5,6,75,956,835940,-164063,1
43,5,6,79,960,164063,164063,1
44,5,6,80,961,835940,-164063,1
45,5,6,81,962,835940,-164063,1
46,5,6,83,964,835940,-164063,1
47,5,6,84,965,164063,164063,1
48,5,6,88,969,164063,164063,1
49,5,6,92,973,835940,-164063,1
50,5,6,94,975,492189,492189,1
51,5,6,96,977,507814,-492189,1
52,5,6,97,978,164063,164063,1
53,5,6,100,981,164063,164063,1
54,5,6,101,982,164063,164063,1
55,5,6,102,983,507814,-492189,1
