basis_id,object,local_pre_idempotent,closed_loop_relation_count,center_dimension,center_basis_rank,primitive_coordinate_nonzero_count,local_support_count,positive_count,negative_count,signed_sum,abs_sum
0,1,12,16,13,13,10,12,6,6,0,3500010
1,5,6,104,22,22,16,44,22,22,0,9843780
