step_id,path_id,fiber_row_id,step_index,component_id,raw_row_id,basis_id,source0_addr,source1_addr,target_addr,coeff
0,0,0,0,0,41694,19,114,753,45,2
1,1,1,0,1,0,7,53,291,0,8
2,2,2,0,2,206848,63,171,291,139,2
3,3,3,0,0,41694,19,114,753,45,2
4,3,3,1,0,41694,19,114,753,45,2
5,4,4,0,0,41694,19,114,753,45,2
6,4,4,1,1,0,7,53,291,0,8
7,5,5,0,1,0,7,53,291,0,8
8,5,5,1,1,0,7,53,291,0,8
9,6,6,0,1,0,7,53,291,0,8
10,6,6,1,2,206848,63,171,291,139,2
11,7,7,0,2,206848,63,171,291,139,2
12,7,7,1,2,206848,63,171,291,139,2
13,8,8,0,0,41694,19,114,753,45,2
14,8,8,1,0,41694,19,114,753,45,2
15,8,8,2,0,41694,19,114,753,45,2
16,9,9,0,0,41694,19,114,753,45,2
17,9,9,1,0,41694,19,114,753,45,2
18,9,9,2,1,0,7,53,291,0,8
19,10,10,0,0,41694,19,114,753,45,2
20,10,10,1,1,0,7,53,291,0,8
21,10,10,2,1,0,7,53,291,0,8
22,11,11,0,1,0,7,53,291,0,8
23,11,11,1,1,0,7,53,291,0,8
24,11,11,2,1,0,7,53,291,0,8
25,12,12,0,1,0,7,53,291,0,8
26,12,12,1,1,0,7,53,291,0,8
27,12,12,2,2,206848,63,171,291,139,2
28,13,13,0,1,0,7,53,291,0,8
29,13,13,1,2,206848,63,171,291,139,2
30,13,13,2,2,206848,63,171,291,139,2
31,14,14,0,2,206848,63,171,291,139,2
32,14,14,1,2,206848,63,171,291,139,2
33,14,14,2,2,206848,63,171,291,139,2
34,15,15,0,0,41694,19,114,753,45,2
35,15,15,1,0,41694,19,114,753,45,2
36,15,15,2,0,41694,19,114,753,45,2
37,15,15,3,0,41694,19,114,753,45,2
38,16,16,0,0,41694,19,114,753,45,2
39,16,16,1,0,41694,19,114,753,45,2
40,16,16,2,0,41694,19,114,753,45,2
41,16,16,3,1,0,7,53,291,0,8
42,17,17,0,0,41694,19,114,753,45,2
43,17,17,1,0,41694,19,114,753,45,2
44,17,17,2,1,0,7,53,291,0,8
45,17,17,3,1,0,7,53,291,0,8
46,18,18,0,0,41694,19,114,753,45,2
47,18,18,1,1,0,7,53,291,0,8
48,18,18,2,1,0,7,53,291,0,8
49,18,18,3,1,0,7,53,291,0,8
50,19,19,0,1,0,7,53,291,0,8
51,19,19,1,1,0,7,53,291,0,8
52,19,19,2,1,0,7,53,291,0,8
53,19,19,3,1,0,7,53,291,0,8
54,20,20,0,1,0,7,53,291,0,8
55,20,20,1,1,0,7,53,291,0,8
56,20,20,2,1,0,7,53,291,0,8
57,20,20,3,2,206848,63,171,291,139,2
58,21,21,0,1,0,7,53,291,0,8
59,21,21,1,1,0,7,53,291,0,8
60,21,21,2,2,206848,63,171,291,139,2
61,21,21,3,2,206848,63,171,291,139,2
62,22,22,0,1,0,7,53,291,0,8
63,22,22,1,2,206848,63,171,291,139,2
64,22,22,2,2,206848,63,171,291,139,2
65,22,22,3,2,206848,63,171,291,139,2
66,23,23,0,2,206848,63,171,291,139,2
67,23,23,1,2,206848,63,171,291,139,2
68,23,23,2,2,206848,63,171,291,139,2
69,23,23,3,2,206848,63,171,291,139,2
70,24,24,0,0,41694,19,114,753,45,2
71,24,24,1,0,41694,19,114,753,45,2
72,24,24,2,0,41694,19,114,753,45,2
73,24,24,3,0,41694,19,114,753,45,2
74,24,24,4,0,41694,19,114,753,45,2
75,25,25,0,0,41694,19,114,753,45,2
76,25,25,1,0,41694,19,114,753,45,2
77,25,25,2,0,41694,19,114,753,45,2
78,25,25,3,0,41694,19,114,753,45,2
79,25,25,4,1,0,7,53,291,0,8
80,26,26,0,0,41694,19,114,753,45,2
81,26,26,1,0,41694,19,114,753,45,2
82,26,26,2,0,41694,19,114,753,45,2
83,26,26,3,1,0,7,53,291,0,8
84,26,26,4,1,0,7,53,291,0,8
85,27,27,0,0,41694,19,114,753,45,2
86,27,27,1,0,41694,19,114,753,45,2
87,27,27,2,1,0,7,53,291,0,8
88,27,27,3,1,0,7,53,291,0,8
89,27,27,4,1,0,7,53,291,0,8
90,28,28,0,0,41694,19,114,753,45,2
91,28,28,1,1,0,7,53,291,0,8
92,28,28,2,1,0,7,53,291,0,8
93,28,28,3,1,0,7,53,291,0,8
94,28,28,4,1,0,7,53,291,0,8
95,29,29,0,1,0,7,53,291,0,8
96,29,29,1,1,0,7,53,291,0,8
97,29,29,2,1,0,7,53,291,0,8
98,29,29,3,1,0,7,53,291,0,8
99,29,29,4,1,0,7,53,291,0,8
100,30,30,0,1,0,7,53,291,0,8
101,30,30,1,1,0,7,53,291,0,8
102,30,30,2,1,0,7,53,291,0,8
103,30,30,3,1,0,7,53,291,0,8
104,30,30,4,2,206848,63,171,291,139,2
105,31,31,0,1,0,7,53,291,0,8
106,31,31,1,1,0,7,53,291,0,8
107,31,31,2,1,0,7,53,291,0,8
108,31,31,3,2,206848,63,171,291,139,2
109,31,31,4,2,206848,63,171,291,139,2
110,32,32,0,1,0,7,53,291,0,8
111,32,32,1,1,0,7,53,291,0,8
112,32,32,2,2,206848,63,171,291,139,2
113,32,32,3,2,206848,63,171,291,139,2
114,32,32,4,2,206848,63,171,291,139,2
115,33,33,0,1,0,7,53,291,0,8
116,33,33,1,2,206848,63,171,291,139,2
117,33,33,2,2,206848,63,171,291,139,2
118,33,33,3,2,206848,63,171,291,139,2
119,33,33,4,2,206848,63,171,291,139,2
120,34,34,0,2,206848,63,171,291,139,2
121,34,34,1,2,206848,63,171,291,139,2
122,34,34,2,2,206848,63,171,291,139,2
123,34,34,3,2,206848,63,171,291,139,2
124,34,34,4,2,206848,63,171,291,139,2
125,35,35,0,0,41694,19,114,753,45,2
126,35,35,1,0,41694,19,114,753,45,2
127,35,35,2,0,41694,19,114,753,45,2
128,35,35,3,0,41694,19,114,753,45,2
129,35,35,4,0,41694,19,114,753,45,2
130,35,35,5,0,41694,19,114,753,45,2
131,36,36,0,0,41694,19,114,753,45,2
132,36,36,1,0,41694,19,114,753,45,2
133,36,36,2,0,41694,19,114,753,45,2
134,36,36,3,0,41694,19,114,753,45,2
135,36,36,4,0,41694,19,114,753,45,2
136,36,36,5,1,0,7,53,291,0,8
137,37,37,0,0,41694,19,114,753,45,2
138,37,37,1,0,41694,19,114,753,45,2
139,37,37,2,0,41694,19,114,753,45,2
140,37,37,3,0,41694,19,114,753,45,2
141,37,37,4,1,0,7,53,291,0,8
142,37,37,5,1,0,7,53,291,0,8
143,38,38,0,0,41694,19,114,753,45,2
144,38,38,1,0,41694,19,114,753,45,2
145,38,38,2,0,41694,19,114,753,45,2
146,38,38,3,1,0,7,53,291,0,8
147,38,38,4,1,0,7,53,291,0,8
148,38,38,5,1,0,7,53,291,0,8
149,39,39,0,0,41694,19,114,753,45,2
150,39,39,1,0,41694,19,114,753,45,2
151,39,39,2,1,0,7,53,291,0,8
152,39,39,3,1,0,7,53,291,0,8
153,39,39,4,1,0,7,53,291,0,8
154,39,39,5,1,0,7,53,291,0,8
155,40,40,0,0,41694,19,114,753,45,2
156,40,40,1,1,0,7,53,291,0,8
157,40,40,2,1,0,7,53,291,0,8
158,40,40,3,1,0,7,53,291,0,8
159,40,40,4,1,0,7,53,291,0,8
160,40,40,5,1,0,7,53,291,0,8
161,41,41,0,1,0,7,53,291,0,8
162,41,41,1,1,0,7,53,291,0,8
163,41,41,2,1,0,7,53,291,0,8
164,41,41,3,1,0,7,53,291,0,8
165,41,41,4,1,0,7,53,291,0,8
166,41,41,5,1,0,7,53,291,0,8
167,42,42,0,1,0,7,53,291,0,8
168,42,42,1,1,0,7,53,291,0,8
169,42,42,2,1,0,7,53,291,0,8
170,42,42,3,1,0,7,53,291,0,8
171,42,42,4,1,0,7,53,291,0,8
172,42,42,5,2,206848,63,171,291,139,2
173,43,43,0,1,0,7,53,291,0,8
174,43,43,1,1,0,7,53,291,0,8
175,43,43,2,1,0,7,53,291,0,8
176,43,43,3,1,0,7,53,291,0,8
177,43,43,4,2,206848,63,171,291,139,2
178,43,43,5,2,206848,63,171,291,139,2
179,44,44,0,1,0,7,53,291,0,8
180,44,44,1,1,0,7,53,291,0,8
181,44,44,2,1,0,7,53,291,0,8
182,44,44,3,2,206848,63,171,291,139,2
183,44,44,4,2,206848,63,171,291,139,2
184,44,44,5,2,206848,63,171,291,139,2
185,45,45,0,1,0,7,53,291,0,8
186,45,45,1,1,0,7,53,291,0,8
187,45,45,2,2,206848,63,171,291,139,2
188,45,45,3,2,206848,63,171,291,139,2
189,45,45,4,2,206848,63,171,291,139,2
190,45,45,5,2,206848,63,171,291,139,2
191,46,46,0,1,0,7,53,291,0,8
192,46,46,1,2,206848,63,171,291,139,2
193,46,46,2,2,206848,63,171,291,139,2
194,46,46,3,2,206848,63,171,291,139,2
195,46,46,4,2,206848,63,171,291,139,2
196,46,46,5,2,206848,63,171,291,139,2
197,47,47,0,2,206848,63,171,291,139,2
198,47,47,1,2,206848,63,171,291,139,2
199,47,47,2,2,206848,63,171,291,139,2
200,47,47,3,2,206848,63,171,291,139,2
201,47,47,4,2,206848,63,171,291,139,2
202,47,47,5,2,206848,63,171,291,139,2
203,48,48,0,0,41694,19,114,753,45,2
204,48,48,1,0,41694,19,114,753,45,2
205,48,48,2,0,41694,19,114,753,45,2
206,48,48,3,0,41694,19,114,753,45,2
207,48,48,4,0,41694,19,114,753,45,2
208,48,48,5,0,41694,19,114,753,45,2
209,48,48,6,0,41694,19,114,753,45,2
210,49,49,0,0,41694,19,114,753,45,2
211,49,49,1,0,41694,19,114,753,45,2
212,49,49,2,0,41694,19,114,753,45,2
213,49,49,3,0,41694,19,114,753,45,2
214,49,49,4,0,41694,19,114,753,45,2
215,49,49,5,0,41694,19,114,753,45,2
216,49,49,6,1,0,7,53,291,0,8
217,50,50,0,0,41694,19,114,753,45,2
218,50,50,1,0,41694,19,114,753,45,2
219,50,50,2,0,41694,19,114,753,45,2
220,50,50,3,0,41694,19,114,753,45,2
221,50,50,4,0,41694,19,114,753,45,2
222,50,50,5,1,0,7,53,291,0,8
223,50,50,6,1,0,7,53,291,0,8
224,51,51,0,0,41694,19,114,753,45,2
225,51,51,1,0,41694,19,114,753,45,2
226,51,51,2,0,41694,19,114,753,45,2
227,51,51,3,0,41694,19,114,753,45,2
228,51,51,4,1,0,7,53,291,0,8
229,51,51,5,1,0,7,53,291,0,8
230,51,51,6,1,0,7,53,291,0,8
231,52,52,0,0,41694,19,114,753,45,2
232,52,52,1,0,41694,19,114,753,45,2
233,52,52,2,0,41694,19,114,753,45,2
234,52,52,3,1,0,7,53,291,0,8
235,52,52,4,1,0,7,53,291,0,8
236,52,52,5,1,0,7,53,291,0,8
237,52,52,6,1,0,7,53,291,0,8
238,53,53,0,0,41694,19,114,753,45,2
239,53,53,1,0,41694,19,114,753,45,2
240,53,53,2,1,0,7,53,291,0,8
241,53,53,3,1,0,7,53,291,0,8
242,53,53,4,1,0,7,53,291,0,8
243,53,53,5,1,0,7,53,291,0,8
244,53,53,6,1,0,7,53,291,0,8
245,54,54,0,0,41694,19,114,753,45,2
246,54,54,1,1,0,7,53,291,0,8
247,54,54,2,1,0,7,53,291,0,8
248,54,54,3,1,0,7,53,291,0,8
249,54,54,4,1,0,7,53,291,0,8
250,54,54,5,1,0,7,53,291,0,8
251,54,54,6,1,0,7,53,291,0,8
252,55,55,0,1,0,7,53,291,0,8
253,55,55,1,1,0,7,53,291,0,8
254,55,55,2,1,0,7,53,291,0,8
255,55,55,3,1,0,7,53,291,0,8
256,55,55,4,1,0,7,53,291,0,8
257,55,55,5,1,0,7,53,291,0,8
258,55,55,6,1,0,7,53,291,0,8
259,56,56,0,1,0,7,53,291,0,8
260,56,56,1,1,0,7,53,291,0,8
261,56,56,2,1,0,7,53,291,0,8
