component_id,representative_raw_row_id,representative_basis_id,representative_source0_addr,representative_source1_addr,representative_target_addr,representative_coeff,active_owner_count,raw_support_count,raw_coeff_sum,representative_owner_active_flag
0,41694,19,114,753,45,2,33,64320,90624,1
1,0,7,53,291,0,8,1,146050,270320,1
2,206848,63,171,291,139,2,17,886221,1624896,1
