path_id,fiber_row_id,sample_count,sum_value,count_component0,count_component1,count_component2,step_count,path_component_sum,component_sum_check_flag,raw_row_word_exists_flag,long_tens_gap_flag,existing_prof_flag,gap_witness_flag,support_product_digits,support_product_mod_1000000007,support_product_mod_1000000009,representative_coeff_product_digits,representative_coeff_product_mod_1000000007,representative_coeff_product_mod_1000000009
0,0,1,0,1,0,0,1,0,1,1,0,1,0,5,64320,64320,1,2,2
1,1,1,1,0,1,0,1,1,1,1,0,1,0,6,146050,146050,1,8,8
2,2,1,2,0,0,1,1,2,1,1,0,1,0,6,886221,886221,1,2,2
3,3,2,0,2,0,0,2,0,1,1,0,1,0,10,137062372,137062364,1,4,4
4,4,2,1,1,1,0,2,1,1,1,0,1,0,10,393935937,393935919,2,16,16
5,5,2,2,0,2,0,2,2,1,1,0,1,0,11,330602353,330602311,2,64,64
6,6,2,3,0,1,1,2,3,1,1,0,1,0,12,432576147,432575889,2,16,16
7,7,2,4,0,0,2,2,4,1,1,0,1,0,12,387655346,387653776,1,4,4
8,8,3,0,3,0,0,3,0,1,1,0,1,0,15,851705335,851173145,1,8,8
9,9,3,1,2,1,0,3,1,1,1,0,1,0,15,959290481,958082047,2,32,32
10,10,3,2,1,2,0,3,2,1,1,0,1,0,16,343196112,340452144,3,128,128
11,11,3,3,0,3,0,3,3,1,1,0,1,0,16,473317662,467086994,3,512,512
12,12,3,4,0,2,1,3,4,1,1,0,1,0,17,745827111,708019857,3,128,128
13,13,3,5,0,1,2,3,5,1,1,0,1,0,18,62886981,833475256,2,32,32
14,14,3,6,0,0,3,3,6,1,1,0,1,0,18,305982630,913928582,1,8,8
15,15,4,0,4,0,0,4,0,1,1,0,1,0,20,686763733,456193677,2,16,16
16,16,4,1,3,1,0,4,1,1,1,0,1,0,20,563306013,836708433,2,64,64
17,17,4,2,2,2,0,4,2,1,1,0,1,0,20,373769322,881705007,3,256,256
18,18,4,3,1,3,0,4,3,1,1,0,1,0,21,791806739,35183693,4,1024,1024
19,19,4,4,0,4,0,4,4,1,1,0,1,0,21,44051204,54859738,4,4096,4096
20,20,4,5,0,3,1,4,5,1,1,0,1,0,22,48799054,299184196,4,1024,1024
21,21,4,6,0,2,2,4,6,1,1,0,1,0,23,643510762,60043239,3,256,256
22,22,4,7,0,1,3,4,7,1,1,0,1,0,24,762798684,268199789,2,64,64
23,23,4,8,0,0,4,4,8,1,1,0,1,0,24,230443054,694579144,2,16,16
24,24,5,0,5,0,0,5,0,1,1,0,1,0,25,642997356,377040562,2,32,32
25,25,5,1,4,1,0,5,1,1,1,0,1,0,25,842502543,85926207,3,128,128
26,26,5,2,3,2,0,5,2,1,1,0,1,0,25,842622760,265539841,3,512,512
27,27,5,3,2,3,0,5,3,1,1,0,1,0,26,9095977,15113393,4,2048,2048
28,28,5,4,1,4,0,5,4,1,1,0,1,0,26,373421449,578316408,4,8192,8192
29,29,5,5,0,5,0,5,5,1,1,0,1,0,26,678299169,264662792,5,32768,32768
30,30,5,6,0,4,1,5,6,1,1,0,1,0,27,101786811,851432545,4,8192,8192
31,31,5,7,0,3,2,5,7,1,1,0,1,0,28,746132212,314977029,4,2048,2048
32,32,5,8,0,2,3,5,8,1,1,0,1,0,29,747018358,578830920,3,512,512
33,33,5,9,0,1,4,5,9,1,1,0,1,0,29,207801108,283068213,3,128,128
34,34,5,10,0,0,5,5,10,1,1,0,1,0,30,472329373,618034874,2,32,32
35,35,6,0,6,0,0,6,0,1,1,0,1,0,29,589648421,248729581,2,64,64
36,36,6,1,5,1,0,6,1,1,1,0,1,0,30,763186437,773584506,3,256,256
37,37,6,2,4,2,0,6,2,1,1,0,1,0,30,495543821,522419409,4,1024,1024
38,38,6,3,3,3,0,6,3,1,1,0,1,0,30,53236545,93429012,4,4096,4096
39,39,6,4,2,4,0,6,4,1,1,0,1,0,31,467431554,311027787,5,16384,16384
40,40,6,5,1,5,0,6,5,1,1,0,1,0,31,202244684,110628233,5,65536,65536
41,41,6,6,0,6,0,6,6,1,1,0,1,0,31,592938995,423714,6,262144,262144
42,42,6,7,0,5,1,6,7,1,1,0,1,0,32,963642495,722078091,5,65536,65536
43,43,6,8,0,4,2,6,8,1,1,0,1,0,33,608799796,394671432,5,16384,16384
44,44,6,9,0,3,3,6,9,1,1,0,1,0,34,30422186,255105158,4,4096,4096
45,45,6,10,0,2,4,6,10,1,1,0,1,0,35,351610957,112136572,4,1024,1024
46,46,6,11,0,1,5,6,11,1,1,0,1,0,35,704443769,992535333,3,256,256
47,47,6,12,0,0,6,6,12,1,1,0,1,0,36,206339317,479141719,2,64,64
48,48,7,0,7,0,0,7,0,1,1,0,1,0,34,186173238,286505938,3,128,128
49,49,7,1,6,1,0,7,1,1,1,0,1,0,35,151284224,954978116,3,512,512
50,50,7,2,5,2,0,7,2,1,1,0,1,0,35,378343609,16084462,4,2048,2048
51,51,7,3,4,3,0,7,3,1,1,0,1,0,35,174550432,353997759,4,8192,8192
52,52,7,4,3,4,0,7,4,1,1,0,1,0,36,197342825,307079795,5,32768,32768
53,53,7,5,2,5,0,7,5,1,1,0,1,0,36,377983824,607882525,6,131072,131072
54,54,7,6,1,6,0,7,6,1,1,0,1,0,36,835891441,253284237,6,524288,524288
55,55,7,7,0,7,0,7,7,1,1,0,1,0,37,739613564,883429151,7,2097152,2097152
56,56,7,8,0,6,1,7,8,1,1,0,1,0,37,985409577,504241419,6,524288,524288
57,57,7,9,0,5,2,7,9,1,1,0,1,0,38,209583395,762124831,6,131072,131072
58,58,7,10,0,4,3,7,10,1,1,0,1,0,39,160234199,107990578,5,32768,32768
59,59,7,11,0,3,4,7,11,1,1,0,1,0,40,779910386,546193207,4,8192,8192
60,60,7,12,0,2,5,7,12,1,1,0,1,0,41,11742262,784080019,4,2048,2048
61,61,7,13,0,1,6,7,13,1,1,0,1,0,41,857036905,647430148,3,512,512
62,62,7,14,0,0,7,7,14,1,1,0,1,0,42,234571023,449532274,3,128,128
63,63,8,0,8,0,0,8,0,1,1,0,1,0,39,662584342,61766308,3,256,256
64,64,8,1,7,1,0,8,1,1,1,0,1,0,39,601219570,191868304,4,1024,1024
65,65,8,2,6,2,0,8,2,1,1,0,1,0,40,60760535,552586534,4,4096,4096
66,66,8,3,5,3,0,8,3,1,1,0,1,0,40,83707651,135653959,5,16384,16384
67,67,8,4,4,4,0,8,4,1,1,0,1,0,40,90415149,372236641,5,65536,65536
68,68,8,5,3,5,0,8,5,1,1,0,1,0,41,919389503,3656109,6,262144,262144
69,69,8,6,2,6,0,8,6,1,1,0,1,0,41,537108772,241977221,7,1048576,1048576
70,70,8,7,1,7,0,8,7,1,1,0,1,0,41,944103483,162480922,7,4194304,4194304
71,71,8,8,0,8,0,8,8,1,1,0,1,0,42,560266060,826342334,8,16777216,16777216
72,72,8,9,0,7,1,8,9,1,1,0,1,0,43,67713417,458582154,7,4194304,4194304
73,73,8,10,0,6,2,8,10,1,1,0,1,0,43,654625487,330565778,7,1048576,1048576
74,74,8,11,0,5,3,8,11,1,1,0,1,0,44,204600136,23774952,6,262144,262144
75,75,8,12,0,4,4,8,12,1,1,0,1,0,45,911077965,517164411,5,65536,65536
76,76,8,13,0,3,5,8,13,1,1,0,1,0,46,957353102,885744324,5,16384,16384
77,77,8,14,0,2,6,8,14,1,1,0,1,0,47,239099060,172264387,4,4096,4096
78,78,8,15,0,1,7,8,15,1,1,0,1,0,47,97669337,188026814,4,1024,1024
79,79,8,16,0,0,8,8,16,1,1,0,1,0,48,765118916,937811098,3,256,256
80,80,9,0,9,0,0,9,0,1,1,1,0,1,44,424579121,808894812,3,512,512
81,81,9,1,8,1,0,9,1,1,1,1,0,1,44,442471710,969202220,4,2048,2048
82,82,9,2,7,2,0,9,2,1,1,1,0,1,44,117583844,365547002,4,8192,8192
83,83,9,3,6,3,0,9,3,1,1,1,0,1,45,76074632,262564355,5,32768,32768
84,84,9,4,5,4,0,9,4,1,1,1,0,1,45,502342975,260533642,6,131072,131072
85,85,9,5,4,5,0,9,5,1,1,1,0,1,46,132419015,160928765,6,524288,524288
86,86,9,6,3,6,0,9,6,1,1,1,0,1,46,835973218,974714653,7,2097152,2097152
87,87,9,7,2,7,0,9,7,1,1,1,0,1,46,735601492,772808990,7,8388608,8388608
88,88,9,8,1,8,0,9,8,1,1,1,0,1,47,312726948,338444530,8,33554432,33554432
89,89,9,9,0,9,0,9,9,1,1,1,0,1,47,857490218,296794517,9,134217728,134217728
90,90,9,10,0,8,1,9,10,1,1,1,0,1,48,544483627,922988925,8,33554432,33554432
91,91,9,11,0,7,2,9,11,1,1,1,0,1,49,51707094,131442389,7,8388608,8388608
92,92,9,12,0,6,3,9,12,1,1,1,0,1,49,849653633,331708352,7,2097152,2097152
93,93,9,13,0,5,4,9,13,1,1,1,0,1,50,935856816,861546771,6,524288,524288
94,94,9,14,0,4,5,9,14,1,1,1,0,1,51,419568353,957355942,6,131072,131072
95,95,9,15,0,3,6,9,15,1,1,1,0,1,52,417468560,213494919,5,32768,32768
96,96,9,16,0,2,7,9,16,1,1,1,0,1,52,606569002,315937551,4,8192,8192
97,97,9,17,0,1,8,9,17,1,1,1,0,1,53,616899585,309630197,4,2048,2048
98,98,9,18,0,0,9,9,18,1,1,1,0,1,54,446109988,881600695,3,512,512
99,99,10,0,10,0,0,10,0,1,1,1,0,1,49,928871564,113839588,4,1024,1024
100,100,10,1,9,1,0,10,1,1,1,1,0,1,49,780187987,86229349,4,4096,4096
101,101,10,2,8,2,0,10,2,1,1,1,0,1,49,992793146,982957041,5,16384,16384
102,102,10,3,7,3,0,10,3,1,1,1,0,1,50,120295989,139161608,5,65536,65536
103,103,10,4,6,4,0,10,4,1,1,1,0,1,50,699925830,523702627,6,262144,262144
104,104,10,5,5,5,0,10,5,1,1,1,0,1,50,190985181,938071650,7,1048576,1048576
105,105,10,6,4,6,0,10,6,1,1,1,0,1,51,797005377,645916723,7,4194304,4194304
106,106,10,7,3,7,0,10,7,1,1,1,0,1,51,887634249,73789437,8,16777216,16777216
107,107,10,8,2,8,0,10,8,1,1,1,0,1,51,597154562,751973688,8,67108864,67108864
108,108,10,9,1,9,0,10,9,1,1,1,0,1,52,770435689,823161639,9,268435456,268435456
109,109,10,10,0,10,0,10,10,1,1,1,0,1,52,445462248,838817736,10,73741817,73741815
110,110,10,11,0,9,1,10,11,1,1,1,0,1,53,833166703,531283032,9,268435456,268435456
111,111,10,12,0,8,2,10,12,1,1,1,0,1,54,821025843,160740677,8,67108864,67108864
112,112,10,13,0,7,3,10,13,1,1,1,0,1,54,912231013,4373586,8,16777216,16777216
113,113,10,14,0,6,4,10,14,1,1,1,0,1,55,887020033,904772098,7,4194304,4194304
114,114,10,15,0,5,5,10,15,1,1,1,0,1,56,957526711,834070711,7,1048576,1048576
115,115,10,16,0,4,6,10,16,1,1,1,0,1,57,282761203,932639330,6,262144,262144
116,116,10,17,0,3,7,10,17,1,1,1,0,1,58,402121977,678908272,5,65536,65536
117,117,10,18,0,2,8,10,18,1,1,1,0,1,58,183758564,489864861,5,16384,16384
118,118,10,19,0,1,9,10,19,1,1,1,0,1,59,363291322,780345937,4,4096,4096
119,119,10,20,0,0,10,10,20,1,1,1,0,1,60,36907884,42491958,4,1024,1024
120,120,11,0,11,0,0,11,0,1,1,1,0,1,53,18578265,162234262,4,2048,2048
121,121,11,1,10,1,0,11,1,1,1,1,0,1,54,690972573,271677766,4,8192,8192
