metric_node_rank,rewrite_node_id,carrier_trace_rank,ambient_geodesic_rank,signature_union_count,distance_to_node48,distance_to_node42,distance_to_node44
0,48,0,0,132,0,1,2
1,42,1,1,183,1,0,1
2,27,2,-1,146,2,1,2
3,28,3,-1,169,3,2,2
4,34,4,-1,177,3,2,1
5,44,5,2,185,2,1,0
