observable_id,observable_code,value_x1e12,aux_id
0,0,6,0
1,1,5,0
2,2,2,0
3,3,5,0
4,4,2,0
5,5,3,0
6,6,127,0
7,7,53,0
8,8,74,0
9,9,146,0
10,10,183,0
11,11,3,0
12,12,2,0
13,13,1,0
14,14,5,0
15,15,1,0
