source_sector,raw_sector,block_dimension,fingerprint,match_status,perennial_id,coordinate_fingerprint_id
6,9,2,"[0, 0, 0, 0, 119141, -253907]",UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985pf.404cf670100d6a5f1a2dd250,a985coord.8b0381188ff5b5b5bf854edb
25,30,1,"[0, 0, 0, 0, -208985, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985pf.f5c4748a515dca877336eb56,a985coord.679dfe35a3ec900ef94e3fee
26,29,1,"[0, 0, 0, 0, 373048, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985pf.1c291d5534c311edc48123b2,a985coord.90b3dfdbbd10982f7e31ff7f
33,19,2,"[0, -31250, 0, 0, 0, 492189]",UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985pf.0f1476a5434aef02bb516590,a985coord.468ec3c4d550c16c63fa2f3d
