selector_id,selector_code,source_code,candidate_count,golden_candidate_flag,unique_selector_flag,certified_selector_flag,obstruction_flag,value
0,0,0,63,1,0,0,1,0
1,1,1,19,0,0,0,1,18
2,2,1,1,0,1,0,1,18
3,3,1,1,0,1,0,1,18781825174
4,4,2,0,0,0,0,1,642
5,5,3,0,0,0,0,1,642
6,6,4,0,0,0,0,1,0
7,7,5,0,0,0,0,1,0
