,unit,B-∧B+,B-∧V-,B-∧V+,B-∧S-,B-∧S+,B+∧V-,B+∧V+,B+∧S-,B+∧S+,V-∧V+,V-∧S-,V-∧S+,V+∧S-,V+∧S+,S-∧S+
unit,1.0,-1.3497095191313317e-17,1.463706757734299e-32,1.0459004178672556e-16,2.1370976158669453e-16,0.0,0.0,0.0,0.0,0.0,-1.3497095191313317e-17,0.0,1.4961100537390912e-16,0.0,0.0,-1.3497095191313317e-17
B-∧B+,-1.3497095191313317e-17,0.3333333333333334,-1.0134903240813525e-17,4.8502126461579766e-17,1.1433933966763354e-16,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,1.0188968706703858e-16,0.0,0.0,0.3333333333333334
B-∧V-,1.463706757734299e-32,-1.0134903240813525e-17,3.081487911019577e-33,3.040470972244059e-17,3.040470972244058e-17,0.0,0.0,0.0,0.0,0.0,-1.0134903240813525e-17,0.0,3.040470972244058e-17,0.0,0.0,-1.0134903240813525e-17
B-∧V+,1.0459004178672556e-16,4.8502126461579766e-17,3.040470972244059e-17,1.0000000000000002,2.363413350424185e-16,0.0,0.0,0.0,0.0,0.0,4.8502126461579766e-17,0.0,-3.1375470759929e-16,0.0,0.0,4.8502126461579766e-17
B-∧S-,2.1370976158669453e-16,1.1433933966763354e-16,3.040470972244058e-17,2.363413350424185e-16,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,1.1433933966763354e-16,0.0,2.6333857327475673e-17,0.0,0.0,1.1433933966763354e-16
B-∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B+∧V-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B+∧V+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B+∧S-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B+∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V-∧V+,-1.3497095191313317e-17,0.3333333333333334,-1.0134903240813525e-17,4.8502126461579766e-17,1.1433933966763354e-16,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,1.0188968706703858e-16,0.0,0.0,0.3333333333333334
V-∧S-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V-∧S+,1.4961100537390912e-16,1.0188968706703858e-16,3.040470972244058e-17,-3.1375470759929e-16,2.6333857327475673e-17,0.0,0.0,0.0,0.0,0.0,1.0188968706703858e-16,0.0,1.0,0.0,0.0,1.0188968706703858e-16
V+∧S-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V+∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-∧S+,-1.3497095191313317e-17,0.3333333333333334,-1.0134903240813525e-17,4.8502126461579766e-17,1.1433933966763354e-16,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,1.0188968706703858e-16,0.0,0.0,0.3333333333333334
