sample_id,sample_kind,circuit_size,v0,v1,v2,v3,v4,pairing_value
0,1,4,0,1,2,3,-1,677039352030520359136426411760195118146
1,1,4,0,1,2,4,-1,334457927898312287434379332169185930234
2,1,4,0,1,3,4,-1,135875056884043766089000183286970422734
3,1,4,0,1,5,6,-1,3118373857433723
4,1,4,0,1,5,10,-1,10875662479484804336517541713002578
5,1,4,0,1,5,11,-1,18211698460657264246715949218643700
6,1,4,0,1,6,10,-1,806735527158899056807705720926859914
7,1,4,0,1,6,11,-1,2059463993102239267154066518322255881
8,1,4,0,1,7,14,-1,180004420814495643392300035193300946114
9,1,4,0,1,8,13,-1,5758274782473663301673249400911325748244
10,1,4,0,1,9,12,-1,9358353511689870551041485074724335360
11,1,4,0,1,10,11,-1,3539626498300270059122192590007578
12,1,4,0,1,15,55,-1,961631705334983237103676301787807415982
13,1,4,0,1,16,17,-1,75522043434193690898204126214232397026
14,1,4,0,1,16,31,-1,293669784480116928418893168701536061479
15,1,4,0,1,16,32,-1,17252717223075497614495636740068269711
