observable_id,observable_code,value,scale_code
0,0,60,0
1,1,32,0
2,2,16,0
3,3,16,0
4,4,60,0
5,5,-9418959026769907,0
6,6,3787234343094179,0
7,7,4903515,0
8,8,0,0
9,9,4903515,0
10,10,0,0
11,11,0,0
12,12,10635,0
13,13,4892880,0
14,14,1,0
15,15,136,0
16,16,1,0
17,17,1,0
18,18,1,0
19,19,0,0
20,20,4894923,0
21,21,1,0
