vertex_id,height_value
0,-3512764142630478
1,-2653286105617179
2,-1425656013336316
3,723725785776883
4,-34991336864628
5,-5969138000064863
6,-7566033820483963
7,-6338403728202564
8,-8163518319492281
9,-8922235442133909
10,-4250181926037957
11,-6706555783470356
12,-7203279368107471
13,-5053897568993757
14,-3228782977705538
15,-1794921741474347
16,-4251295598906210
17,-3989302060900309
18,-1371007292146477
19,-14805670498646
20,-7901524781486350
21,-5814416652190732
22,-6618132295146259
23,-5021236474726689
24,-8398248366122632
25,-5596733346811490
26,-2978438578058291
27,-6355450469452708
28,-2118960541045646
29,-4206068670339312
30,-577827114681358
31,-2402941705971147
32,-1381542757637518
33,1074831099794979
34,1571554684430773
35,-9418959026769907
36,-8559480989757076
37,-9156965488764561
38,-8135566540429406
39,-7766300812291735
40,337413316388697
41,1934309136808549
42,3290510758458140
43,706679044527341
44,2531793635816316
45,2503841856753580
46,2134576128616082
47,2927756306080382
48,3787234343094179
49,3525240805087806
50,-4260717391528703
51,-3836802942201351
52,-5616919013177076
53,-1380429084769041
54,-1642422622775609
55,986407611470057
56,-610488208950075
57,2269800097810343
58,2766523682445794
59,182691968514800
