mode,mode_name,rank,builder,loading,abs_loading
1,completion/J-pressure polarity,1,EMERGENCE_SEEKER,-0.813299205749577,0.813299205749577
1,completion/J-pressure polarity,2,CURVATURE_ZERO,0.34506105841226714,0.34506105841226714
1,completion/J-pressure polarity,3,ROBUST_REVEAL,0.33159979824020136,0.33159979824020136
1,completion/J-pressure polarity,4,H2047_PURIST,0.17708581622301683,0.17708581622301683
1,completion/J-pressure polarity,5,MONODROME_PURIST,0.17033302711896586,0.17033302711896586
1,completion/J-pressure polarity,6,H954_CORRIDOR,-0.12609693232263694,0.12609693232263694
1,completion/J-pressure polarity,7,BLUFF_REVEAL,0.11050498728385157,0.11050498728385157
1,completion/J-pressure polarity,8,DIVERGENCE_MIN,0.07211985497957649,0.07211985497957649
1,completion/J-pressure polarity,9,FACE17_ANCHOR,-0.0712236880364351,0.0712236880364351
1,completion/J-pressure polarity,10,Q4_BALANCER,-0.06880041346818543,0.06880041346818543
1,completion/J-pressure polarity,11,SIGMA_MIN,0.05358714525753595,0.05358714525753595
1,completion/J-pressure polarity,12,SPREAD_CONTROL,-0.03640504854482655,0.03640504854482655
1,completion/J-pressure polarity,13,FACE15_ANCHOR,0.03267761921169443,0.03267761921169443
1,completion/J-pressure polarity,14,STOCHASTIC_CONTROL,-0.022289132055287875,0.022289132055287875
1,completion/J-pressure polarity,15,FACE12_ANCHOR,-0.01628134984619405,0.01628134984619405
1,completion/J-pressure polarity,16,BASIN_SWITCHER,-0.000344010732122646,0.000344010732122646
2,kernel-spike q4-loss polarity,1,H2047_PURIST,-0.340427275374307,0.340427275374307
2,kernel-spike q4-loss polarity,2,FACE12_ANCHOR,-0.2996944352713131,0.2996944352713131
2,kernel-spike q4-loss polarity,3,SIGMA_MIN,-0.298971007416784,0.298971007416784
2,kernel-spike q4-loss polarity,4,STOCHASTIC_CONTROL,-0.29660959897750083,0.29660959897750083
2,kernel-spike q4-loss polarity,5,H954_CORRIDOR,-0.28401509731495117,0.28401509731495117
2,kernel-spike q4-loss polarity,6,FACE15_ANCHOR,-0.28306151598797374,0.28306151598797374
2,kernel-spike q4-loss polarity,7,DIVERGENCE_MIN,-0.28083633873476566,0.28083633873476566
2,kernel-spike q4-loss polarity,8,FACE17_ANCHOR,-0.27947946321443246,0.27947946321443246
2,kernel-spike q4-loss polarity,9,BASIN_SWITCHER,-0.26863511127106215,0.26863511127106215
2,kernel-spike q4-loss polarity,10,SPREAD_CONTROL,-0.25028138969951813,0.25028138969951813
2,kernel-spike q4-loss polarity,11,Q4_BALANCER,-0.24936327918856707,0.24936327918856707
2,kernel-spike q4-loss polarity,12,MONODROME_PURIST,-0.20080908539647516,0.20080908539647516
2,kernel-spike q4-loss polarity,13,CURVATURE_ZERO,-0.19992312748139665,0.19992312748139665
2,kernel-spike q4-loss polarity,14,EMERGENCE_SEEKER,-0.14071788376278183,0.14071788376278183
