builder,jabber,payoff,win,pure,flat,curved,monodrome,loss,hpop,sigma_H,omega,divergence,C,V,X,bluff,q4,sealed,J_pressure,S_score,F7_minus_L3,L3_minus_P1,P1_point
CURVATURE_ZERO,RANDOM_JABBER,-21.17273726851852,0.20833333333333334,0.0,0.0,0.0,0.20833333333333334,0.7083333333333334,10.3125,0.6875,1.0208333333333333,42.762731481481474,78.27083333333333,161.45833333333334,12.125,0.16666666666666666,0.020833333333333332,78.27083333333333,0.24484606481481477,0.5378622685185185,0.0625,0.8333333333333334,0.10416666666666667
SIGMA_MIN,NONE,315.72493055555555,0.75,0.5,0.5,0.25,0.0,0.0,11.0,0.0,0.25,21.430555555555554,97.5,68.25,0.0,0.0,0.0,97.5,0.028573412698412626,0.9464265873015872,0.0,0.0,1.0
SIGMA_MIN,KERNEL_SPIKE,-68.74135416666668,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.5833333333333334,11.0,0.0,1.0,14.812499999999998,71.54166666666667,58.625,0.0,0.0,0.5416666666666666,71.54166666666667,0.5160029761904762,0.1994136904761905,0.0,0.0,1.0
SIGMA_MIN,KERNEL_DRIP,175.69993055555554,0.75,0.08333333333333333,0.2916666666666667,0.4583333333333333,0.0,0.125,11.0,0.0,0.5,21.430555555555554,97.5,68.25,0.0,0.0,0.0,97.5,0.3011924603174603,0.6738075396825397,0.0,0.0,1.0
SIGMA_MIN,BLUFF_ENGINE,65.87700231481482,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.4583333333333333,0.375,10.833333333333334,0.16666666666666666,0.6666666666666666,20.418981481481477,93.33333333333333,65.375,8.208333333333334,8.208333333333334,0.125,93.33333333333333,0.37577612433862434,0.5575572089947091,0.0,0.5416666666666666,0.4583333333333333
SIGMA_MIN,CURVATURE_INJECTOR,225.18326388888886,0.75,0.08333333333333333,0.375,0.375,0.0,0.0,11.0,0.0,0.5,21.430555555555554,97.5,81.70833333333333,0.0,0.0,0.0,97.5,0.2095257936507936,0.7654742063492064,0.0,0.0,1.0
SIGMA_MIN,MONODROME_CONTAMINATOR,72.7109375,0.4583333333333333,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.3333333333333333,0.5,9.875,1.125,1.7916666666666667,18.437499999999996,86.54166666666667,67.08333333333333,9.375,0.0,0.2916666666666667,86.54166666666667,0.2142708333333333,0.6511458333333333,0.0,0.625,0.375
SIGMA_MIN,DIVERGENCE_TAX,233.74128472222222,0.5416666666666666,0.125,0.125,0.4166666666666667,0.0,0.0,11.0,0.0,0.5,23.701388888888886,95.41666666666667,69.45833333333333,0.0,0.0,0.0,95.41666666666667,0.03798710317460312,0.9161795634920634,0.0,0.0,1.0
SIGMA_MIN,HOMOLOGY_PUNCTURE,194.80606770833333,0.7083333333333334,0.08333333333333333,0.5,0.20833333333333334,0.0,0.125,11.0,0.0,0.2708333333333333,42.50520833333342,95.625,94.97916666666667,0.0,0.0,0.0,95.625,0.2621480654761905,0.6941019345238094,0.0,0.0,1.0
SIGMA_MIN,FACE15_DENIAL,283.77493055555556,0.75,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.0,0.0,11.0,0.0,0.3333333333333333,21.430555555555554,97.5,67.625,0.0,0.0,0.0,97.5,0.04881150793650788,0.9261884920634921,0.0,0.0,1.0
SIGMA_MIN,FACE12_DENIAL,269.77777777777777,0.75,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.0,0.0,11.0,0.0,0.7916666666666666,21.111111111111107,97.5,69.66666666666667,0.0,0.0,0.0,97.5,0.05206349206349201,0.9229365079365079,0.0,0.0,1.0
SIGMA_MIN,FACE17_DENIAL,289.89993055555556,0.75,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.0,0.0,11.0,0.0,0.375,21.430555555555554,97.5,67.25,0.0,0.0,0.0,97.5,0.05238293650793646,0.9226170634920634,0.0,0.0,1.0
SIGMA_MIN,RANK4_TAX,51.912025462962966,0.375,0.0,0.3333333333333333,0.041666666666666664,0.0,0.0,11.0,0.0,0.9583333333333334,18.108796296296294,84.91666666666667,59.791666666666664,0.0,0.0,0.5,84.91666666666667,0.42287070105820107,0.42629596560846567,0.0,0.0,1.0
SIGMA_MIN,H_MASK_SPLIT,268.6832638888889,0.75,0.08333333333333333,0.7083333333333334,0.041666666666666664,0.0,0.0,11.0,0.0,0.25,21.430555555555554,97.5,70.54166666666667,0.0,0.0,0.0,97.5,0.12976388888888885,0.8452361111111112,0.0,0.0,1.0
SIGMA_MIN,OMEGA_LOCK,290.5165972222222,0.75,0.2916666666666667,0.2916666666666667,0.4583333333333333,0.0,0.0,11.0,0.0,0.6666666666666666,21.430555555555554,97.5,68.25,0.0,0.0,0.0,97.5,0.04047817460317454,0.9345218253968254,0.0,0.0,1.0
SIGMA_MIN,EXTRACTOR_LURE,193.92218749999998,0.75,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.625,0.125,11.0,0.0,1.125,21.270833333333332,97.5,74.625,6.458333333333333,0.0,0.0,97.5,0.13793749999999996,0.8370625,0.0,0.5,0.5
SIGMA_MIN,RANDOM_JABBER,-4.504424189814814,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.2916666666666667,10.875,0.125,0.5625,26.554976851851848,96.5,77.8125,8.854166666666666,8.854166666666666,0.041666666666666664,96.5,0.6164359292328042,0.34856407076719575,0.10416666666666667,0.4166666666666667,0.4791666666666667
Q4_BALANCER,NONE,232.64211805555558,0.75,0.0,0.0,0.75,0.0,0.0,9.75,1.25,1.5,17.36805555555555,87.5,4.75,0.0,0.0,0.0,87.5,0.07451091269841266,0.8004890873015872,0.0,0.0,1.0
Q4_BALANCER,KERNEL_SPIKE,-67.50405671296296,0.375,0.0,0.0,0.375,0.0,0.5,9.666666666666666,1.3333333333333333,1.25,13.568287037037033,68.25,8.583333333333334,0.0,0.0,0.041666666666666664,68.25,0.5135682870370369,0.16893171296296297,0.0,0.0,1.0
Q4_BALANCER,KERNEL_DRIP,131.00878472222223,0.75,0.0,0.0,0.75,0.0,0.16666666666666666,9.75,1.25,1.4166666666666667,17.36805555555555,87.5,4.75,0.0,0.0,0.0,87.5,0.31379662698412697,0.5612033730158731,0.0,0.0,1.0
Q4_BALANCER,BLUFF_ENGINE,65.28952546296296,0.6666666666666666,0.0,0.0,0.125,0.5416666666666666,0.2916666666666667,9.666666666666666,1.3333333333333333,1.25,17.02546296296296,86.375,4.666666666666667,7.333333333333333,7.333333333333333,0.0,86.375,0.3717873677248677,0.49196263227513226,0.0,0.08333333333333333,0.9166666666666666
Q4_BALANCER,CURVATURE_INJECTOR,169.2254513888889,0.75,0.0,0.0,0.75,0.0,0.08333333333333333,9.75,1.25,1.1666666666666667,17.36805555555555,87.5,16.541666666666668,0.0,0.0,0.0,87.5,0.232844246031746,0.642155753968254,0.0,0.0,1.0
Q4_BALANCER,MONODROME_CONTAMINATOR,62.65393518518519,0.5416666666666666,0.0,0.0,0.125,0.4166666666666667,0.4166666666666667,9.625,1.375,2.4583333333333335,16.43518518518518,83.5,6.125,8.625,0.0,0.16666666666666666,83.5,0.21583994708994705,0.6191600529100529,0.0,0.20833333333333334,0.7916666666666666
Q4_BALANCER,DIVERGENCE_TAX,183.49895254629632,0.5416666666666666,0.0,0.0,0.5416666666666666,0.0,0.0,10.0,1.0,1.25,16.57754629629629,79.08333333333333,4.291666666666667,0.0,0.0,0.0,79.08333333333333,0.06657754629629624,0.7242557870370371,0.0,0.0,1.0
Q4_BALANCER,HOMOLOGY_PUNCTURE,124.40878472222222,0.75,0.0,0.020833333333333332,0.7291666666666666,0.0,0.20833333333333334,7.666666666666667,3.3333333333333335,1.4791666666666667,17.36805555555555,87.5,14.666666666666666,0.0,0.0,0.0,87.5,0.31945138888888885,0.5555486111111111,0.0,0.0,1.0
Q4_BALANCER,FACE15_DENIAL,182.65145833333338,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.08333333333333333,9.833333333333334,1.1666666666666667,1.5416666666666667,16.624999999999996,84.16666666666667,4.666666666666667,0.0,0.0,0.0,84.16666666666667,0.13210119047619043,0.7095654761904763,0.0,0.0,1.0
Q4_BALANCER,FACE12_DENIAL,226.85878472222225,0.75,0.0,0.0,0.75,0.0,0.0,9.75,1.25,1.3333333333333333,17.36805555555555,87.5,4.708333333333333,0.0,0.0,0.0,87.5,0.0923680555555555,0.7826319444444444,0.0,0.0,1.0
Q4_BALANCER,FACE17_DENIAL,226.86711805555558,0.75,0.0,0.0,0.75,0.0,0.0,9.75,1.25,1.4583333333333333,17.36805555555555,87.5,5.083333333333333,0.0,0.0,0.0,87.5,0.09117757936507931,0.7838224206349206,0.0,0.0,1.0
Q4_BALANCER,RANK4_TAX,22.388744212962965,0.375,0.0,0.0,0.375,0.0,0.0,9.458333333333334,1.5416666666666667,1.4583333333333333,14.785879629629624,75.20833333333333,4.458333333333333,0.0,0.0,0.0,75.20833333333333,0.4088334986772486,0.34324983465608466,0.0,0.0,1.0
Q4_BALANCER,H_MASK_SPLIT,208.16295138888893,0.75,0.0,0.0,0.75,0.0,0.0,8.708333333333334,2.2916666666666665,1.5,17.36805555555555,87.5,4.75,0.0,0.0,0.0,87.5,0.15189186507936506,0.723108134920635,0.0,0.0,1.0
Q4_BALANCER,OMEGA_LOCK,229.93378472222227,0.75,0.0,0.0,0.75,0.0,0.0,9.75,1.25,1.7083333333333333,17.36805555555555,87.5,4.75,0.0,0.0,0.0,87.5,0.0804632936507936,0.7945367063492063,0.0,0.0,1.0
Q4_BALANCER,EXTRACTOR_LURE,141.06315972222225,0.75,0.0,0.0,0.125,0.625,0.125,9.833333333333334,1.1666666666666667,2.2083333333333335,17.24305555555555,87.5,6.041666666666667,5.5,0.0,0.0,87.5,0.16367162698412693,0.7113283730158729,0.0,0.125,0.875
Q4_BALANCER,RANDOM_JABBER,9.639762731481463,0.75,0.0,0.0,0.0,0.75,0.25,8.520833333333334,2.4791666666666665,1.5416666666666667,17.34606481481481,87.64583333333333,4.791666666666667,7.666666666666667,7.666666666666667,0.0,87.64583333333333,0.5697270171957672,0.30673131613756616,0.0,0.14583333333333334,0.8541666666666666
DIVERGENCE_MIN,NONE,276.55055555555555,1.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,1.75,28.555555555555554,100.0,0.0,0.0,0.0,0.0,100.0,0.1428412698412698,0.8571587301587301,0.0,0.0,1.0
DIVERGENCE_MIN,KERNEL_SPIKE,-63.58421296296296,0.4583333333333333,0.0,0.0,0.4583333333333333,0.0,0.5416666666666666,7.916666666666667,3.0833333333333335,2.2083333333333335,18.9537037037037,76.75,3.4166666666666665,0.0,0.0,0.5416666666666666,76.75,0.5784775132275132,0.1890224867724868,0.0,0.0,1.0
DIVERGENCE_MIN,KERNEL_DRIP,227.17555555555558,1.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,1.5416666666666667,28.555555555555554,100.0,0.0,0.0,0.0,0.0,100.0,0.2856984126984126,0.7143015873015873,0.0,0.0,1.0
DIVERGENCE_MIN,BLUFF_ENGINE,149.46732060185187,0.9166666666666666,0.0,0.0,0.16666666666666666,0.75,0.08333333333333333,7.041666666666667,3.9583333333333335,1.5416666666666667,28.195601851851848,99.16666666666667,0.0,5.583333333333333,5.583333333333333,0.0,99.16666666666667,0.3585527447089947,0.6331139219576719,0.0,0.0,1.0
DIVERGENCE_MIN,CURVATURE_INJECTOR,246.80055555555555,1.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,1.6666666666666667,28.555555555555554,100.0,7.125,0.0,0.0,0.0,100.0,0.2285555555555555,0.7714444444444445,0.0,0.0,1.0
DIVERGENCE_MIN,MONODROME_CONTAMINATOR,99.57693287037036,0.7083333333333334,0.0,0.0,0.16666666666666666,0.5416666666666666,0.2916666666666667,7.25,3.75,2.375,26.432870370370367,96.20833333333333,0.0,8.75,0.0,0.041666666666666664,96.20833333333333,0.27167096560846554,0.6904123677248677,0.0,0.0,1.0
DIVERGENCE_MIN,DIVERGENCE_TAX,279.5755555555555,1.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,1.375,28.555555555555554,100.0,0.0,0.0,0.0,0.0,100.0,0.13450793650793644,0.8654920634920634,0.0,0.0,1.0
DIVERGENCE_MIN,HOMOLOGY_PUNCTURE,235.15472222222226,1.0,0.0,0.0,1.0,0.0,0.0,7.166666666666667,3.8333333333333335,1.5208333333333333,28.555555555555554,100.0,7.125,0.0,0.0,0.0,100.0,0.24700793650793648,0.7529920634920635,0.0,0.0,1.0
DIVERGENCE_MIN,FACE15_DENIAL,276.9422222222222,1.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,1.4583333333333333,28.555555555555554,100.0,0.0,0.0,0.0,0.0,100.0,0.14403174603174598,0.8559682539682539,0.0,0.0,1.0
DIVERGENCE_MIN,FACE12_DENIAL,275.09222222222223,1.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,1.5416666666666667,28.555555555555554,100.0,0.0,0.0,0.0,0.0,100.0,0.14879365079365076,0.8512063492063492,0.0,0.0,1.0
DIVERGENCE_MIN,FACE17_DENIAL,275.50888888888886,1.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,1.125,28.555555555555554,100.0,0.0,0.0,0.0,0.0,100.0,0.15117460317460316,0.8488253968253968,0.0,0.0,1.0
DIVERGENCE_MIN,RANK4_TAX,15.763015046296301,0.5,0.0,0.0,0.5,0.0,0.125,7.083333333333333,3.9166666666666665,2.2083333333333335,21.05671296296296,85.33333333333333,0.0,0.0,0.0,0.5,85.33333333333333,0.5198662367724868,0.33346709656084655,0.0,0.0,1.0
DIVERGENCE_MIN,H_MASK_SPLIT,261.34222222222223,1.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,1.9583333333333333,28.555555555555554,100.0,0.0,0.0,0.0,0.0,100.0,0.1785555555555555,0.8214444444444444,0.0,0.0,1.0
DIVERGENCE_MIN,OMEGA_LOCK,276.55055555555555,1.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,1.75,28.555555555555554,100.0,0.0,0.0,0.0,0.0,100.0,0.1428412698412698,0.8571587301587301,0.0,0.0,1.0
DIVERGENCE_MIN,EXTRACTOR_LURE,188.05680555555557,0.9583333333333334,0.0,0.0,0.16666666666666666,0.7916666666666666,0.041666666666666664,7.0,4.0,1.7916666666666667,28.555555555555554,99.95833333333333,0.0,5.5,0.0,0.041666666666666664,99.95833333333333,0.22379365079365074,0.7757896825396825,0.0,0.0,1.0
DIVERGENCE_MIN,RANDOM_JABBER,126.3776388888889,1.0,0.0,0.0,0.0,1.0,0.0,7.1875,3.8125,1.4791666666666667,28.555555555555554,100.0,0.0,5.104166666666667,5.104166666666667,0.0,100.0,0.4538531746031746,0.5461468253968254,0.0,0.0,1.0
BLUFF_REVEAL,NONE,241.9396527777778,0.75,0.0,0.0,0.75,0.0,0.0,9.75,1.25,1.0,15.652777777777773,86.25,4.75,0.0,0.0,0.0,86.25,0.04779563492063485,0.8147043650793652,0.0,0.0,1.0
BLUFF_REVEAL,KERNEL_SPIKE,222.8356365740741,0.7083333333333334,0.0,0.0,0.7083333333333334,0.0,0.0,9.75,1.25,1.2916666666666667,15.469907407407405,85.375,75.375,0.0,0.0,0.041666666666666664,85.375,0.060708002645502586,0.7930419973544974,0.0,0.0,1.0
BLUFF_REVEAL,KERNEL_DRIP,240.35631944444447,0.75,0.0,0.0,0.75,0.0,0.0,9.75,1.25,1.0,15.652777777777773,86.25,24.541666666666668,0.0,0.0,0.0,86.25,0.04779563492063485,0.8147043650793652,0.0,0.0,1.0
BLUFF_REVEAL,BLUFF_ENGINE,96.82457754629631,0.5833333333333334,0.0,0.0,0.125,0.4583333333333333,0.375,9.541666666666666,1.4583333333333333,1.6666666666666667,14.952546296296292,82.375,18.0,8.166666666666666,0.0,0.08333333333333333,82.375,0.17864302248677244,0.6451069775132275,0.20833333333333334,0.4583333333333333,0.3333333333333333
BLUFF_REVEAL,CURVATURE_INJECTOR,240.9396527777778,0.75,0.0,0.0,0.75,0.0,0.0,9.75,1.25,1.0,15.652777777777773,86.25,30.083333333333332,0.0,0.0,0.0,86.25,0.04779563492063485,0.8147043650793652,0.0,0.0,1.0
BLUFF_REVEAL,MONODROME_CONTAMINATOR,68.68305555555557,0.5,0.0,0.0,0.125,0.375,0.4583333333333333,9.583333333333334,1.4166666666666667,2.1666666666666665,14.888888888888886,82.25,8.708333333333334,8.916666666666666,0.0,0.25,82.25,0.20060317460317456,0.6218968253968254,0.0,0.4166666666666667,0.5833333333333334
BLUFF_REVEAL,DIVERGENCE_TAX,195.48543981481484,0.5833333333333334,0.0,0.0,0.5833333333333334,0.0,0.0,9.583333333333334,1.4166666666666667,1.0,14.10648148148148,77.08333333333333,4.666666666666667,0.0,0.0,0.0,77.08333333333333,0.04863029100529095,0.7222030423280423,0.0,0.0,1.0
BLUFF_REVEAL,HOMOLOGY_PUNCTURE,222.77923611111112,0.75,0.020833333333333332,0.020833333333333332,0.7291666666666666,0.0,0.0,7.604166666666667,3.3958333333333335,1.0833333333333333,15.652777777777773,86.25,38.875,0.0,0.0,0.0,86.25,0.0817242063492063,0.7807757936507937,0.0,0.0,1.0
BLUFF_REVEAL,FACE15_DENIAL,241.70631944444446,0.75,0.0,0.0,0.75,0.0,0.0,9.75,1.25,1.0,15.652777777777773,86.25,7.0,0.0,0.0,0.0,86.25,0.04779563492063485,0.8147043650793652,0.0,0.0,1.0
BLUFF_REVEAL,FACE12_DENIAL,241.62298611111112,0.75,0.0,0.0,0.75,0.0,0.0,9.75,1.25,1.0,15.652777777777773,86.25,6.166666666666667,0.0,0.0,0.0,86.25,0.04779563492063485,0.8147043650793652,0.0,0.0,1.0
BLUFF_REVEAL,FACE17_DENIAL,241.87298611111112,0.75,0.0,0.0,0.75,0.0,0.0,9.75,1.25,1.0,15.652777777777773,86.25,5.541666666666667,0.0,0.0,0.0,86.25,0.04779563492063485,0.8147043650793652,0.0,0.0,1.0
BLUFF_REVEAL,RANK4_TAX,235.32298611111113,0.75,0.0,0.0,0.75,0.0,0.0,9.75,1.25,1.1666666666666667,15.652777777777773,86.25,34.208333333333336,0.0,0.0,0.0,86.25,0.05612896825396819,0.8063710317460319,0.0,0.0,1.0
BLUFF_REVEAL,H_MASK_SPLIT,239.08548611111112,0.75,0.0,0.0,0.75,0.0,0.0,8.708333333333334,2.2916666666666665,1.0,15.652777777777773,86.25,8.5,0.0,0.0,0.0,86.25,0.06267658730158722,0.7998234126984126,0.0,0.0,1.0
