observable_id,observable_code,value,scale_code
0,0,144,0
1,1,512,0
2,2,6868800,0
3,3,172526936,0
4,4,71168,0
5,5,71105,0
6,6,63,0
7,7,63,0
8,8,2,0
9,9,11213312,0
10,10,10515968,0
11,11,2601984,0
12,12,2447744,0
13,13,4213120,0
14,14,1815040,0
15,15,7541600,0
16,16,7982592,0
17,17,6796608,0
18,18,4589696,0
19,19,1,0
20,20,1,0
21,21,1,0
22,22,0,0
23,23,0,0
24,24,0,0
25,25,0,0
26,26,72,0
27,27,213,0
28,28,153,0
29,29,0,0
30,30,0,0
31,31,0,0
32,32,0,0
33,33,909,0
34,34,1168,0
35,35,0,0
36,36,42192,0
37,37,12,0
38,38,21,0
39,39,32,0
40,40,36,0
41,41,48,0
42,42,126,0
43,43,1,0
44,44,436,0
45,45,436,0
46,46,12,0
47,47,12,0
48,48,12,0
49,49,12,0
50,50,22,0
51,51,26,0
52,52,5769408,0
53,53,13409,0
54,54,5769408,0
55,55,13409,0
56,56,10529536,0
57,57,6053,0
58,58,6796608,0
59,59,42977,0
60,60,4,0
61,61,7735158,0
62,62,1,0
63,63,1,0
64,64,1,0
65,65,1,0
