"benchmark","proof","exit_code","stdout","stderr"
"contradiction_4.cnf","contradiction_4.cadical.lrat","20","c LRAT-TRIM Version 0.2.1-dev trims LRAT proofs | c Copyright (c) 2023-2025 A. Biere, F. Pollitt, Univ. Freiburg | c reading CNF and LRAT files | c backward checking trimmed clauses after trimming proof | c reading CNF from 'D:\Projects\carrollian\gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\contradiction_4.cnf' | c found 'p cnf 4 5' header | c parsed CNF with 5 added clauses | c parsing original CNF took 0.00 seconds and needed 0 MB memory | c reading proof from 'D:\Projects\carrollian\gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\contradiction_4.cadical.lrat' | c parsed original proof with 1 added and 0 deleted clauses | c parsing original proof took 0.00 seconds and needed 0 MB memory | c trimmed 5 original clauses in CNF to 2 clauses 40% | c trimmed 1 added clauses in original proof to 1 clauses 100% | c trimming proof took 0.00 seconds | c backward checking proof took 0.00 seconds | s VERIFIED | c checked 1 clauses 0 per second | c resolved 3 clauses 3.00 per checked clause | c assigned 1 literals 1.00 per checked clause | c maximum memory usage of 0 MB | c total time of 0.00 seconds | ",""
"horn_chain_12.cnf","horn_chain_12.cadical.lrat","20","c LRAT-TRIM Version 0.2.1-dev trims LRAT proofs | c Copyright (c) 2023-2025 A. Biere, F. Pollitt, Univ. Freiburg | c reading CNF and LRAT files | c backward checking trimmed clauses after trimming proof | c reading CNF from 'D:\Projects\carrollian\gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\horn_chain_12.cnf' | c found 'p cnf 12 13' header | c parsed CNF with 13 added clauses | c parsing original CNF took 0.00 seconds and needed 0 MB memory | c reading proof from 'D:\Projects\carrollian\gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\horn_chain_12.cadical.lrat' | c parsed original proof with 12 added and 0 deleted clauses | c parsing original proof took 0.00 seconds and needed 0 MB memory | c trimmed 13 original clauses in CNF to 13 clauses 100% | c trimmed 12 added clauses in original proof to 12 clauses 100% | c trimming proof took 0.00 seconds | c backward checking proof took 0.00 seconds | s VERIFIED | c checked 12 clauses 0 per second | c resolved 36 clauses 3.00 per checked clause | c assigned 23 literals 1.92 per checked clause | c maximum memory usage of 0 MB | c total time of 0.00 seconds | ",""
"horn_chain_8.cnf","horn_chain_8.cadical.lrat","20","c LRAT-TRIM Version 0.2.1-dev trims LRAT proofs | c Copyright (c) 2023-2025 A. Biere, F. Pollitt, Univ. Freiburg | c reading CNF and LRAT files | c backward checking trimmed clauses after trimming proof | c reading CNF from 'D:\Projects\carrollian\gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\horn_chain_8.cnf' | c found 'p cnf 8 9' header | c parsed CNF with 9 added clauses | c parsing original CNF took 0.00 seconds and needed 0 MB memory | c reading proof from 'D:\Projects\carrollian\gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\horn_chain_8.cadical.lrat' | c parsed original proof with 8 added and 0 deleted clauses | c parsing original proof took 0.00 seconds and needed 0 MB memory | c trimmed 9 original clauses in CNF to 9 clauses 100% | c trimmed 8 added clauses in original proof to 8 clauses 100% | c trimming proof took 0.00 seconds | c backward checking proof took 0.00 seconds | s VERIFIED | c checked 8 clauses 0 per second | c resolved 24 clauses 3.00 per checked clause | c assigned 15 literals 1.88 per checked clause | c maximum memory usage of 0 MB | c total time of 0.00 seconds | ",""
"php_3_2.cnf","php_3_2.cadical.lrat","20","c LRAT-TRIM Version 0.2.1-dev trims LRAT proofs | c Copyright (c) 2023-2025 A. Biere, F. Pollitt, Univ. Freiburg | c reading CNF and LRAT files | c backward checking trimmed clauses after trimming proof | c reading CNF from 'D:\Projects\carrollian\gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\php_3_2.cnf' | c found 'p cnf 6 12' header | c parsed CNF with 12 added clauses | c parsing original CNF took 0.00 seconds and needed 0 MB memory | c reading proof from 'D:\Projects\carrollian\gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\php_3_2.cadical.lrat' | c parsed original proof with 7 added and 0 deleted clauses | c parsing original proof took 0.00 seconds and needed 0 MB memory | c trimmed 12 original clauses in CNF to 9 clauses 75% | c trimmed 7 added clauses in original proof to 7 clauses 100% | c trimming proof took 0.00 seconds | c backward checking proof took 0.00 seconds | s VERIFIED | c checked 7 clauses 0 per second | c resolved 25 clauses 3.57 per checked clause | c assigned 17 literals 2.43 per checked clause | c maximum memory usage of 0 MB | c total time of 0.00 seconds | ",""
"xor_unsat.cnf","xor_unsat.cadical.lrat","20","c LRAT-TRIM Version 0.2.1-dev trims LRAT proofs | c Copyright (c) 2023-2025 A. Biere, F. Pollitt, Univ. Freiburg | c reading CNF and LRAT files | c backward checking trimmed clauses after trimming proof | c reading CNF from 'D:\Projects\carrollian\gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\xor_unsat.cnf' | c found 'p cnf 5 24' header | c parsed CNF with 24 added clauses | c parsing original CNF took 0.00 seconds and needed 0 MB memory | c reading proof from 'D:\Projects\carrollian\gnatural_ontological_computation_v19\external_solver_evidence_bundle_strong_cadical_lrat\xor_unsat.cadical.lrat' | c parsed original proof with 16 added and 0 deleted clauses | c parsing original proof took 0.00 seconds and needed 0 MB memory | c trimmed 24 original clauses in CNF to 16 clauses 67% | c trimmed 16 added clauses in original proof to 16 clauses 100% | c trimming proof took 0.00 seconds | c backward checking proof took 0.00 seconds | s VERIFIED | c checked 16 clauses 0 per second | c resolved 47 clauses 2.94 per checked clause | c assigned 50 literals 3.13 per checked clause | c maximum memory usage of 0 MB | c total time of 0.00 seconds | ",""
