support_name,projector_column,transported_source_support,basis_rows,expected_basis_rows,nonzero_products,expected_nonzero_products,zero_products,symbolic_table_complete
unit_top_all_39,0,"{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",985,985,7923,7923,962302,True
zero,1,{},0,0,0,0,0,True
Pi33,2,{33},4,4,8,8,8,True
pure_Sminus_doublet_25_26,3,"{25,26}",2,2,2,2,2,True
mixed_S_channel_6_26,4,"{6,26}",5,5,9,9,16,True
Pi33_plus_pure_Sminus_doublet,5,"{25,26,33}",6,6,10,10,26,True
Pi33_plus_mixed_S_channel,6,"{6,26,33}",9,9,17,17,64,True
