left_projector_column,right_projector_column,left_support_name,right_support_name,result_named_support,result_transport_legacy_support,result_nonzero_coefficients,raw_product_verified
0,0,unit_top_all_39,unit_top_all_39,unit_top_all_39,"{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",6,True
0,1,unit_top_all_39,zero,zero,{},0,True
0,2,unit_top_all_39,Pi33,Pi33,{33},56,True
0,3,unit_top_all_39,pure_Sminus_doublet_25_26,pure_Sminus_doublet_25_26,"{25,26}",14,True
0,4,unit_top_all_39,mixed_S_channel_6_26,mixed_S_channel_6_26,"{6,26}",60,True
0,5,unit_top_all_39,Pi33_plus_pure_Sminus_doublet,Pi33_plus_pure_Sminus_doublet,"{25,26,33}",70,True
0,6,unit_top_all_39,Pi33_plus_mixed_S_channel,Pi33_plus_mixed_S_channel,"{6,26,33}",72,True
1,0,zero,unit_top_all_39,zero,{},0,True
1,1,zero,zero,zero,{},0,True
1,2,zero,Pi33,zero,{},0,True
1,3,zero,pure_Sminus_doublet_25_26,zero,{},0,True
1,4,zero,mixed_S_channel_6_26,zero,{},0,True
1,5,zero,Pi33_plus_pure_Sminus_doublet,zero,{},0,True
1,6,zero,Pi33_plus_mixed_S_channel,zero,{},0,True
2,0,Pi33,unit_top_all_39,Pi33,{33},56,True
2,1,Pi33,zero,zero,{},0,True
2,2,Pi33,Pi33,Pi33,{33},56,True
2,3,Pi33,pure_Sminus_doublet_25_26,zero,{},0,True
2,4,Pi33,mixed_S_channel_6_26,zero,{},0,True
2,5,Pi33,Pi33_plus_pure_Sminus_doublet,Pi33,{33},56,True
2,6,Pi33,Pi33_plus_mixed_S_channel,Pi33,{33},56,True
3,0,pure_Sminus_doublet_25_26,unit_top_all_39,pure_Sminus_doublet_25_26,"{25,26}",14,True
3,1,pure_Sminus_doublet_25_26,zero,zero,{},0,True
3,2,pure_Sminus_doublet_25_26,Pi33,zero,{},0,True
3,3,pure_Sminus_doublet_25_26,pure_Sminus_doublet_25_26,pure_Sminus_doublet_25_26,"{25,26}",14,True
3,4,pure_Sminus_doublet_25_26,mixed_S_channel_6_26,,{26},44,True
3,5,pure_Sminus_doublet_25_26,Pi33_plus_pure_Sminus_doublet,pure_Sminus_doublet_25_26,"{25,26}",14,True
3,6,pure_Sminus_doublet_25_26,Pi33_plus_mixed_S_channel,,{26},44,True
4,0,mixed_S_channel_6_26,unit_top_all_39,mixed_S_channel_6_26,"{6,26}",60,True
4,1,mixed_S_channel_6_26,zero,zero,{},0,True
4,2,mixed_S_channel_6_26,Pi33,zero,{},0,True
4,3,mixed_S_channel_6_26,pure_Sminus_doublet_25_26,,{26},44,True
4,4,mixed_S_channel_6_26,mixed_S_channel_6_26,mixed_S_channel_6_26,"{6,26}",60,True
4,5,mixed_S_channel_6_26,Pi33_plus_pure_Sminus_doublet,,{26},44,True
4,6,mixed_S_channel_6_26,Pi33_plus_mixed_S_channel,mixed_S_channel_6_26,"{6,26}",60,True
5,0,Pi33_plus_pure_Sminus_doublet,unit_top_all_39,Pi33_plus_pure_Sminus_doublet,"{25,26,33}",70,True
5,1,Pi33_plus_pure_Sminus_doublet,zero,zero,{},0,True
5,2,Pi33_plus_pure_Sminus_doublet,Pi33,Pi33,{33},56,True
5,3,Pi33_plus_pure_Sminus_doublet,pure_Sminus_doublet_25_26,pure_Sminus_doublet_25_26,"{25,26}",14,True
5,4,Pi33_plus_pure_Sminus_doublet,mixed_S_channel_6_26,,{26},44,True
5,5,Pi33_plus_pure_Sminus_doublet,Pi33_plus_pure_Sminus_doublet,Pi33_plus_pure_Sminus_doublet,"{25,26,33}",70,True
5,6,Pi33_plus_pure_Sminus_doublet,Pi33_plus_mixed_S_channel,,"{26,33}",100,True
6,0,Pi33_plus_mixed_S_channel,unit_top_all_39,Pi33_plus_mixed_S_channel,"{6,26,33}",72,True
6,1,Pi33_plus_mixed_S_channel,zero,zero,{},0,True
6,2,Pi33_plus_mixed_S_channel,Pi33,Pi33,{33},56,True
6,3,Pi33_plus_mixed_S_channel,pure_Sminus_doublet_25_26,,{26},44,True
6,4,Pi33_plus_mixed_S_channel,mixed_S_channel_6_26,mixed_S_channel_6_26,"{6,26}",60,True
6,5,Pi33_plus_mixed_S_channel,Pi33_plus_pure_Sminus_doublet,,"{26,33}",100,True
6,6,Pi33_plus_mixed_S_channel,Pi33_plus_mixed_S_channel,Pi33_plus_mixed_S_channel,"{6,26,33}",72,True
