component_id,source_count,source_mask,quotient_active_flag,pad_eligible_flag
0,2,1025,0,1
1,1,2,0,1
2,2,516,0,1
3,1,8,0,1
4,1,16,0,1
5,1,32,0,1
6,1,64,0,1
7,1,128,0,1
8,1,256,0,1
9,1,2048,0,1
10,1,4096,1,0
11,1,8192,1,0
12,1,16384,0,1
13,1,32768,1,0
14,4,143720448,1,0
15,4,1099780718592,0,1
16,1,262144,1,0
17,2,4398048608256,1,0
18,1,4194304,1,0
19,1,16777216,1,0
20,1,33554432,0,1
21,1,67108864,0,1
22,2,8796629893120,1,0
23,4,35391604260864,1,0
24,2,562952100904960,1,0
25,1,4294967296,1,0
26,4,282050502328320,0,1
27,1,34359738368,1,0
28,2,70643622084608,0,1
29,2,4505798650626048,1,0
30,1,17592186044416,1,0
31,1,140737488355328,1,0
32,1,1125899906842624,1,0
33,1,2251799813685248,1,0
34,1,9007199254740992,1,0
35,1,18014398509481984,1,0
36,1,36028797018963968,1,0
