observable_id,observable_code,value
0,0,1
1,1,1
2,2,1
3,3,56
4,4,23
5,5,19
6,6,37
7,7,26
8,8,7
9,9,4
10,10,21
11,11,16
12,12,560
13,13,24
14,14,4
15,15,16
16,16,2
17,17,5
18,18,12
19,19,1
20,20,0
21,21,1
22,22,1
23,23,0
24,24,0
