pair_row_id,basis_row_id,source_a,source_b,component_id,collapsed_flag
0,0,2,9,2,1
1,1,0,10,0,1
2,2,17,19,15,1
3,3,16,20,14,1
4,4,16,23,14,1
5,5,16,27,14,1
6,6,17,28,15,1
7,7,33,34,26,1
8,8,30,36,23,1
9,9,30,37,23,1
10,10,33,39,26,1
11,11,17,40,15,1
12,12,21,42,17,1
13,13,29,43,22,1
14,14,30,45,23,1
15,15,38,46,28,1
16,16,33,48,26,1
17,17,31,49,24,1
18,19,41,52,29,1
