product_row_id,left_support_row,right_support_row,left_relation_id,right_relation_id,target_relation_id,target_support_row,inside_support_flag,coefficient
0,1,0,156,155,151,-1,0,1
1,1,9,156,164,151,-1,0,1
2,1,10,156,165,151,-1,0,1
3,1,2,156,157,151,-1,0,1
4,1,3,156,158,151,-1,0,2
5,10,1,165,156,151,-1,0,1
6,9,1,164,156,151,-1,0,1
7,0,3,155,158,151,-1,0,1
8,2,3,157,158,151,-1,0,1
9,3,3,158,158,151,-1,0,2
10,1,1,156,156,151,-1,0,2
11,0,1,155,156,151,-1,0,1
12,2,1,157,156,151,-1,0,1
13,10,3,165,158,151,-1,0,1
14,9,3,164,158,151,-1,0,1
15,3,1,158,156,151,-1,0,2
16,3,10,158,165,151,-1,0,1
17,3,2,158,157,151,-1,0,1
18,3,0,158,155,151,-1,0,1
19,3,9,158,164,151,-1,0,1
20,0,0,155,155,152,-1,0,3
21,10,9,165,164,152,-1,0,3
22,10,10,165,165,152,-1,0,3
23,0,2,155,157,152,-1,0,3
24,9,0,164,155,152,-1,0,3
25,2,9,157,164,152,-1,0,3
26,9,2,164,157,152,-1,0,3
27,2,10,157,165,152,-1,0,3
28,0,2,155,157,153,-1,0,1
29,10,10,165,165,153,-1,0,1
30,10,9,165,164,153,-1,0,1
31,0,0,155,155,153,-1,0,1
32,10,2,165,157,153,-1,0,2
33,0,9,155,164,153,-1,0,2
34,10,0,165,155,153,-1,0,2
35,9,10,164,165,153,-1,0,2
36,2,2,157,157,153,-1,0,2
37,9,9,164,164,153,-1,0,2
38,0,10,155,165,153,-1,0,2
39,2,0,157,155,153,-1,0,2
40,2,9,157,164,153,-1,0,1
41,9,0,164,155,153,-1,0,1
42,9,2,164,157,153,-1,0,1
43,2,10,157,165,153,-1,0,1
44,4,1,159,156,154,-1,0,2
45,4,10,159,165,154,-1,0,1
46,4,3,159,158,154,-1,0,2
47,4,2,159,157,154,-1,0,1
48,4,0,159,155,154,-1,0,1
49,6,1,161,156,154,-1,0,2
50,4,9,159,164,154,-1,0,1
51,6,3,161,158,154,-1,0,2
52,10,4,165,159,154,-1,0,1
53,1,6,156,161,154,-1,0,2
54,9,4,164,159,154,-1,0,1
55,3,6,158,161,154,-1,0,2
56,0,6,155,161,154,-1,0,1
57,2,6,157,161,154,-1,0,1
58,0,4,155,159,154,-1,0,1
59,1,4,156,159,154,-1,0,2
60,2,4,157,159,154,-1,0,1
61,3,4,158,159,154,-1,0,2
62,10,6,165,161,154,-1,0,1
63,9,6,164,161,154,-1,0,1
64,6,0,161,155,154,-1,0,1
65,6,9,161,164,154,-1,0,1
66,6,10,161,165,154,-1,0,1
67,6,2,161,157,154,-1,0,1
68,8,0,163,155,155,0,1,1
69,4,1,159,156,155,0,1,4
70,5,9,160,164,155,0,1,1
71,6,3,161,158,155,0,1,4
72,5,10,160,165,155,0,1,2
73,7,2,162,157,155,0,1,2
74,10,5,165,160,155,0,1,2
75,1,4,156,159,155,0,1,4
76,9,7,164,162,155,0,1,2
77,3,6,158,161,155,0,1,4
78,0,7,155,162,155,0,1,1
79,2,11,157,166,155,0,1,1
80,0,8,155,163,155,0,1,1
81,2,5,157,160,155,0,1,1
82,7,0,162,155,155,0,1,1
83,11,9,166,164,155,0,1,1
84,8,1,163,156,156,1,1,1
85,4,10,159,165,156,1,1,2
86,5,3,160,158,156,1,1,1
87,6,2,161,157,156,1,1,2
88,4,0,159,155,156,1,1,2
89,5,1,160,156,156,1,1,2
90,6,9,161,164,156,1,1,2
91,7,3,162,158,156,1,1,2
92,10,4,165,159,156,1,1,2
93,1,5,156,160,156,1,1,2
94,9,6,164,161,156,1,1,2
95,3,7,158,162,156,1,1,2
96,1,7,156,162,156,1,1,1
97,0,4,155,159,156,1,1,2
98,3,11,158,166,156,1,1,1
99,2,6,157,161,156,1,1,2
100,1,8,156,163,156,1,1,1
101,3,5,158,160,156,1,1,1
102,7,1,162,156,156,1,1,1
103,11,3,166,158,156,1,1,1
104,8,2,163,157,157,2,1,1
105,4,3,159,158,157,2,1,4
106,5,10,160,165,157,2,1,1
107,6,1,161,156,157,2,1,4
108,5,9,160,164,157,2,1,2
109,7,0,162,155,157,2,1,2
110,10,7,165,162,157,2,1,2
111,1,6,156,161,157,2,1,4
112,9,5,164,160,157,2,1,2
113,3,4,158,159,157,2,1,4
114,0,11,155,166,157,2,1,1
115,2,7,157,162,157,2,1,1
116,0,5,155,160,157,2,1,1
117,2,8,157,163,157,2,1,1
118,7,2,162,157,157,2,1,1
119,11,10,166,165,157,2,1,1
120,8,3,163,158,158,3,1,1
121,4,9,159,164,158,3,1,2
122,5,1,160,156,158,3,1,1
123,6,0,161,155,158,3,1,2
124,4,2,159,157,158,3,1,2
125,5,3,160,158,158,3,1,2
126,6,10,161,165,158,3,1,2
127,7,1,162,156,158,3,1,2
128,10,6,165,161,158,3,1,2
129,1,7,156,162,158,3,1,2
130,9,4,164,159,158,3,1,2
131,3,5,158,160,158,3,1,2
132,1,11,156,166,158,3,1,1
133,0,6,155,161,158,3,1,2
134,3,7,158,162,158,3,1,1
135,2,4,157,159,158,3,1,2
136,1,5,156,160,158,3,1,1
137,3,8,158,163,158,3,1,1
138,7,3,162,158,158,3,1,1
139,11,1,166,156,158,3,1,1
140,8,4,163,159,159,4,1,1
141,4,5,159,160,159,4,1,2
142,4,4,159,159,159,4,1,4
143,4,6,159,161,159,4,1,4
144,5,4,160,159,159,4,1,2
145,4,7,159,162,159,4,1,1
146,6,6,161,161,159,4,1,4
147,5,6,160,161,159,4,1,1
148,6,7,161,162,159,4,1,2
149,7,6,162,161,159,4,1,2
150,6,11,161,166,159,4,1,1
151,10,1,165,156,159,4,1,2
152,1,10,156,165,159,4,1,2
153,0,1,155,156,159,4,1,2
154,1,0,156,155,159,4,1,2
155,9,3,164,158,159,4,1,2
156,3,2,158,157,159,4,1,2
157,2,3,157,158,159,4,1,2
158,3,9,158,164,159,4,1,2
159,4,8,159,163,159,4,1,1
160,6,4,161,159,159,4,1,4
161,7,4,162,159,159,4,1,1
162,6,5,161,160,159,4,1,1
163,11,6,166,161,159,4,1,1
164,8,5,163,160,160,5,1,1
165,4,4,159,159,160,5,1,8
166,4,6,159,161,160,5,1,4
167,5,7,160,162,160,5,1,2
168,6,6,161,161,160,5,1,8
169,0,2,155,157,160,5,1,2
170,1,3,156,158,160,5,1,4
171,10,9,165,164,160,5,1,2
172,7,11,162,166,160,5,1,1
173,10,0,165,155,160,5,1,4
174,1,1,156,156,160,5,1,8
175,0,10,155,165,160,5,1,4
176,9,9,164,164,160,5,1,4
177,3,3,158,158,160,5,1,8
178,2,2,157,157,160,5,1,4
179,5,8,160,163,160,5,1,1
180,6,4,161,159,160,5,1,4
181,7,5,162,160,160,5,1,2
182,2,10,157,165,160,5,1,2
183,3,1,158,156,160,5,1,4
184,9,0,164,155,160,5,1,2
185,11,7,166,162,160,5,1,1
186,8,6,163,161,161,6,1,1
187,4,4,159,159,161,6,1,4
188,4,5,159,160,161,6,1,1
189,5,6,160,161,161,6,1,2
190,4,6,159,161,161,6,1,4
191,4,7,159,162,161,6,1,2
192,6,4,161,159,161,6,1,4
193,0,3,155,158,161,6,1,2
194,1,9,156,164,161,6,1,2
195,10,3,165,158,161,6,1,2
196,1,2,156,157,161,6,1,2
197,4,11,159,166,161,6,1,1
198,6,6,161,161,161,6,1,4
199,7,6,162,161,161,6,1,1
200,5,4,160,159,161,6,1,1
201,6,8,161,163,161,6,1,1
202,7,4,162,159,161,6,1,2
203,6,5,161,160,161,6,1,2
204,2,1,157,156,161,6,1,2
205,3,0,158,155,161,6,1,2
206,9,1,164,156,161,6,1,2
207,3,10,158,165,161,6,1,2
208,6,7,161,162,161,6,1,1
209,11,4,166,159,161,6,1,1
210,8,7,163,162,162,7,1,1
211,4,4,159,159,162,7,1,4
212,4,6,159,161,162,7,1,8
213,5,5,160,160,162,7,1,2
214,6,4,161,159,162,7,1,8
215,0,9,155,164,162,7,1,4
216,1,3,156,158,162,7,1,8
217,10,2,165,157,162,7,1,4
218,5,11,160,166,162,7,1,1
219,6,6,161,161,162,7,1,4
220,7,7,162,162,162,7,1,2
221,10,10,165,165,162,7,1,2
222,1,1,156,156,162,7,1,4
223,0,0,155,155,162,7,1,2
224,9,10,164,165,162,7,1,4
225,3,1,158,156,162,7,1,8
226,2,0,157,155,162,7,1,4
227,9,2,164,157,162,7,1,2
228,3,3,158,158,162,7,1,4
229,2,9,157,164,162,7,1,2
230,7,8,162,163,162,7,1,1
231,11,5,166,160,162,7,1,1
232,8,8,163,163,163,8,1,1
233,4,4,159,159,163,8,1,12
234,5,5,160,160,163,8,1,3
235,6,6,161,161,163,8,1,12
236,0,0,155,155,163,8,1,6
237,1,1,156,156,163,8,1,12
238,10,10,165,165,163,8,1,6
239,7,7,162,162,163,8,1,3
240,9,2,164,157,163,8,1,6
241,3,3,158,158,163,8,1,12
242,2,9,157,164,163,8,1,6
243,11,11,166,166,163,8,1,1
244,8,9,163,164,164,9,1,1
245,4,3,159,158,164,9,1,4
246,5,2,160,157,164,9,1,2
247,5,0,160,155,164,9,1,1
248,6,1,161,156,164,9,1,4
249,7,10,162,165,164,9,1,2
250,10,5,165,160,164,9,1,1
251,1,6,156,161,164,9,1,4
252,0,7,155,162,164,9,1,2
253,9,8,164,163,164,9,1,1
254,3,4,158,159,164,9,1,4
255,2,5,157,160,164,9,1,2
256,10,11,165,166,164,9,1,1
257,9,7,164,162,164,9,1,1
258,7,9,162,164,164,9,1,1
259,11,0,166,155,164,9,1,1
260,8,10,163,165,165,10,1,1
261,4,1,159,156,165,10,1,4
262,5,2,160,157,165,10,1,1
263,6,3,161,158,165,10,1,4
264,5,0,160,155,165,10,1,2
265,7,9,162,164,165,10,1,2
266,10,7,165,162,165,10,1,1
267,1,4,156,159,165,10,1,4
268,9,11,164,166,165,10,1,1
269,3,6,158,161,165,10,1,4
270,0,5,155,160,165,10,1,2
271,2,7,157,162,165,10,1,2
272,10,8,165,163,165,10,1,1
273,9,5,164,160,165,10,1,1
274,7,10,162,165,165,10,1,1
275,11,2,166,157,165,10,1,1
276,8,11,163,166,166,11,1,1
277,4,6,159,161,166,11,1,12
278,5,7,160,162,166,11,1,3
279,6,4,161,159,166,11,1,12
280,0,2,155,157,166,11,1,6
281,1,3,156,158,166,11,1,12
282,10,9,165,164,166,11,1,6
283,7,5,162,160,166,11,1,3
284,9,0,164,155,166,11,1,6
285,3,1,158,156,166,11,1,12
286,2,10,157,165,166,11,1,6
287,11,8,166,163,166,11,1,1
288,14,12,893,886,886,12,1,1
289,16,13,896,890,886,12,1,1
290,16,15,896,895,886,12,1,1
291,16,17,896,897,886,12,1,1
292,18,19,907,908,886,12,1,1
293,18,22,907,912,886,12,1,1
294,20,19,909,908,886,12,1,1
295,21,28,910,927,886,12,1,1
296,23,12,916,886,886,12,1,1
297,24,12,917,886,886,12,1,1
298,23,40,916,954,886,12,1,1
299,16,53,896,981,886,12,1,1
300,18,55,907,983,886,12,1,1
301,25,28,921,927,886,12,1,1
302,26,28,923,927,886,12,1,1
303,27,28,926,927,886,12,1,1
304,23,54,916,982,886,12,1,1
305,16,40,896,954,886,12,1,1
306,23,13,916,890,886,12,1,1
307,24,13,917,890,886,12,1,2
308,27,19,926,908,886,12,1,1
309,26,19,923,908,886,12,1,1
310,18,28,907,927,886,12,1,1
311,25,22,921,912,886,12,1,2
312,32,29,934,928,886,12,1,2
313,33,43,935,960,886,12,1,1
314,34,44,938,961,886,12,1,1
315,34,30,938,930,886,12,1,1
316,38,35,945,940,886,12,1,2
317,38,36,945,941,886,12,1,1
318,39,37,951,943,886,12,1,1
319,41,36,955,941,886,12,1,1
320,23,17,916,897,886,12,1,1
321,23,15,916,895,886,12,1,1
322,16,12,896,886,886,12,1,1
323,42,19,956,908,886,12,1,1
324,20,28,909,927,886,12,1,1
325,25,19,921,908,886,12,1,1
326,34,29,938,928,886,12,1,1
327,33,45,935,962,886,12,1,1
328,34,49,938,973,886,12,1,1
329,46,37,964,943,886,12,1,1
330,47,36,965,941,886,12,1,1
331,48,36,969,941,886,12,1,1
332,33,31,935,932,886,12,1,1
333,34,45,938,962,886,12,1,1
334,32,43,934,960,886,12,1,1
335,34,43,938,960,886,12,1,1
336,48,37,969,943,886,12,1,1
337,47,37,965,943,886,12,1,1
