pair_row_id,left_support_row,right_support_row,product_row_count,inside_product_row_count,outside_product_row_count,coefficient_total
0,0,0,4,2,2,12
1,0,1,2,1,1,3
2,0,2,4,2,2,12
3,0,3,2,1,1,3
4,0,4,2,1,1,3
5,0,5,2,2,0,3
6,0,6,2,1,1,3
7,0,7,2,2,0,3
8,0,8,1,1,0,1
9,0,9,2,1,1,6
10,0,10,2,1,1,6
11,0,11,1,1,0,1
12,1,0,2,1,1,3
13,1,1,4,3,1,26
14,1,2,2,1,1,3
15,1,3,4,3,1,26
16,1,4,3,2,1,10
17,1,5,2,2,0,3
18,1,6,3,2,1,10
19,1,7,2,2,0,3
20,1,8,1,1,0,1
21,1,9,2,1,1,3
22,1,10,2,1,1,3
23,1,11,1,1,0,1
24,2,0,2,1,1,6
25,2,1,2,1,1,3
26,2,2,2,1,1,6
27,2,3,2,1,1,3
28,2,4,2,1,1,3
29,2,5,2,2,0,3
30,2,6,2,1,1,3
31,2,7,2,2,0,3
32,2,8,1,1,0,1
33,2,9,4,2,2,12
34,2,10,4,2,2,12
35,2,11,1,1,0,1
36,3,0,2,1,1,3
37,3,1,4,3,1,26
38,3,2,2,1,1,3
39,3,3,4,3,1,26
40,3,4,3,2,1,10
41,3,5,2,2,0,3
42,3,6,3,2,1,10
43,3,7,2,2,0,3
44,3,8,1,1,0,1
45,3,9,2,1,1,3
46,3,10,2,1,1,3
47,3,11,1,1,0,1
48,4,0,2,1,1,3
49,4,1,3,2,1,10
50,4,2,2,1,1,3
51,4,3,3,2,1,10
52,4,4,5,5,0,32
53,4,5,2,2,0,3
54,4,6,5,5,0,32
55,4,7,2,2,0,3
56,4,8,1,1,0,1
57,4,9,2,1,1,3
58,4,10,2,1,1,3
59,4,11,1,1,0,1
60,5,0,2,2,0,3
61,5,1,2,2,0,3
62,5,2,2,2,0,3
63,5,3,2,2,0,3
64,5,4,2,2,0,3
65,5,5,2,2,0,5
66,5,6,2,2,0,3
67,5,7,2,2,0,5
68,5,8,1,1,0,1
69,5,9,2,2,0,3
70,5,10,2,2,0,3
71,5,11,1,1,0,1
72,6,0,2,1,1,3
73,6,1,3,2,1,10
74,6,2,2,1,1,3
75,6,3,3,2,1,10
76,6,4,5,5,0,32
77,6,5,2,2,0,3
78,6,6,5,5,0,32
79,6,7,2,2,0,3
80,6,8,1,1,0,1
81,6,9,2,1,1,3
82,6,10,2,1,1,3
83,6,11,1,1,0,1
84,7,0,2,2,0,3
85,7,1,2,2,0,3
86,7,2,2,2,0,3
87,7,3,2,2,0,3
88,7,4,2,2,0,3
89,7,5,2,2,0,5
90,7,6,2,2,0,3
91,7,7,2,2,0,5
92,7,8,1,1,0,1
93,7,9,2,2,0,3
94,7,10,2,2,0,3
95,7,11,1,1,0,1
96,8,0,1,1,0,1
97,8,1,1,1,0,1
98,8,2,1,1,0,1
99,8,3,1,1,0,1
100,8,4,1,1,0,1
101,8,5,1,1,0,1
102,8,6,1,1,0,1
103,8,7,1,1,0,1
104,8,8,1,1,0,1
105,8,9,1,1,0,1
106,8,10,1,1,0,1
107,8,11,1,1,0,1
108,9,0,4,2,2,12
109,9,1,2,1,1,3
110,9,2,4,2,2,12
111,9,3,2,1,1,3
112,9,4,2,1,1,3
113,9,5,2,2,0,3
114,9,6,2,1,1,3
115,9,7,2,2,0,3
116,9,8,1,1,0,1
117,9,9,2,1,1,6
118,9,10,2,1,1,6
119,9,11,1,1,0,1
120,10,0,2,1,1,6
121,10,1,2,1,1,3
122,10,2,2,1,1,6
123,10,3,2,1,1,3
124,10,4,2,1,1,3
125,10,5,2,2,0,3
126,10,6,2,1,1,3
127,10,7,2,2,0,3
128,10,8,1,1,0,1
129,10,9,4,2,2,12
130,10,10,4,2,2,12
131,10,11,1,1,0,1
132,11,0,1,1,0,1
133,11,1,1,1,0,1
134,11,2,1,1,0,1
135,11,3,1,1,0,1
136,11,4,1,1,0,1
137,11,5,1,1,0,1
138,11,6,1,1,0,1
139,11,7,1,1,0,1
140,11,8,1,1,0,1
141,11,9,1,1,0,1
142,11,10,1,1,0,1
143,11,11,1,1,0,1
144,12,12,10,10,0,36
145,12,13,8,8,0,24
146,12,14,1,1,0,1
147,12,15,5,5,0,10
148,12,16,6,6,0,12
149,12,17,6,6,0,12
150,12,18,10,10,0,36
151,12,19,6,6,0,12
152,12,20,6,6,0,12
153,12,21,3,3,0,5
154,12,22,2,2,0,3
155,12,23,6,6,0,12
156,12,24,2,2,0,3
157,12,25,8,8,0,24
158,12,26,5,5,0,10
159,12,27,6,6,0,12
160,12,28,6,6,0,12
161,12,29,8,8,0,24
162,12,30,6,6,0,12
163,12,31,3,3,0,5
164,12,32,2,2,0,3
165,12,33,6,6,0,12
166,12,34,6,6,0,12
167,12,35,2,2,0,3
168,12,36,6,6,0,12
169,12,37,6,6,0,12
170,12,38,8,8,0,24
171,12,39,6,6,0,12
172,12,40,6,6,0,12
173,12,41,3,3,0,5
174,12,42,3,3,0,5
175,12,43,10,10,0,36
176,12,44,5,5,0,10
177,12,45,6,6,0,12
178,12,46,10,10,0,36
179,12,47,5,5,0,10
180,12,48,6,6,0,12
181,12,49,3,3,0,5
182,12,50,1,1,0,1
183,12,51,1,1,0,1
184,12,52,3,3,0,5
185,12,53,3,3,0,5
186,12,54,3,3,0,5
187,12,55,1,1,0,1
188,13,12,8,8,0,24
189,13,13,10,10,0,36
190,13,14,1,1,0,1
191,13,15,5,5,0,10
192,13,16,6,6,0,12
193,13,17,6,6,0,12
194,13,18,8,8,0,24
195,13,19,6,6,0,12
196,13,20,6,6,0,12
197,13,21,3,3,0,5
198,13,22,2,2,0,3
199,13,23,6,6,0,12
200,13,24,2,2,0,3
201,13,25,10,10,0,36
202,13,26,5,5,0,10
203,13,27,6,6,0,12
204,13,28,6,6,0,12
205,13,29,10,10,0,36
206,13,30,6,6,0,12
207,13,31,3,3,0,5
208,13,32,2,2,0,3
209,13,33,6,6,0,12
210,13,34,6,6,0,12
211,13,35,2,2,0,3
212,13,36,6,6,0,12
213,13,37,6,6,0,12
214,13,38,10,10,0,36
215,13,39,6,6,0,12
216,13,40,6,6,0,12
217,13,41,3,3,0,5
218,13,42,3,3,0,5
219,13,43,8,8,0,24
220,13,44,5,5,0,10
221,13,45,6,6,0,12
222,13,46,8,8,0,24
223,13,47,5,5,0,10
224,13,48,6,6,0,12
225,13,49,3,3,0,5
226,13,50,1,1,0,1
227,13,51,1,1,0,1
228,13,52,3,3,0,5
229,13,53,3,3,0,5
230,13,54,3,3,0,5
231,13,55,1,1,0,1
232,14,12,1,1,0,1
233,14,13,1,1,0,1
234,14,14,1,1,0,1
235,14,15,1,1,0,1
236,14,16,1,1,0,1
237,14,17,1,1,0,1
238,14,18,1,1,0,1
239,14,19,1,1,0,1
240,14,20,1,1,0,1
241,14,21,1,1,0,1
242,14,22,1,1,0,1
243,14,23,1,1,0,1
244,14,24,1,1,0,1
245,14,25,1,1,0,1
246,14,26,1,1,0,1
247,14,27,1,1,0,1
248,14,28,1,1,0,1
249,14,29,1,1,0,1
250,14,30,1,1,0,1
251,14,31,1,1,0,1
252,14,32,1,1,0,1
253,14,33,1,1,0,1
254,14,34,1,1,0,1
255,14,35,1,1,0,1
256,14,36,1,1,0,1
257,14,37,1,1,0,1
258,14,38,1,1,0,1
259,14,39,1,1,0,1
260,14,40,1,1,0,1
261,14,41,1,1,0,1
262,14,42,1,1,0,1
263,14,43,1,1,0,1
264,14,44,1,1,0,1
265,14,45,1,1,0,1
266,14,46,1,1,0,1
267,14,47,1,1,0,1
268,14,48,1,1,0,1
269,14,49,1,1,0,1
270,14,50,1,1,0,1
271,14,51,1,1,0,1
272,14,52,1,1,0,1
273,14,53,1,1,0,1
274,14,54,1,1,0,1
275,14,55,1,1,0,1
276,15,12,5,5,0,10
277,15,13,5,5,0,10
278,15,14,1,1,0,1
279,15,15,5,5,0,14
280,15,16,3,3,0,4
281,15,17,3,3,0,4
282,15,18,5,5,0,10
283,15,19,3,3,0,4
284,15,20,3,3,0,4
285,15,21,3,3,0,5
286,15,22,3,3,0,5
287,15,23,3,3,0,4
288,15,24,3,3,0,5
289,15,25,5,5,0,10
290,15,26,5,5,0,14
291,15,27,3,3,0,4
292,15,28,3,3,0,4
293,15,29,5,5,0,10
294,15,30,3,3,0,4
295,15,31,3,3,0,5
296,15,32,3,3,0,5
297,15,33,3,3,0,4
298,15,34,3,3,0,4
299,15,35,3,3,0,5
300,15,36,3,3,0,4
301,15,37,3,3,0,4
302,15,38,5,5,0,10
303,15,39,3,3,0,4
304,15,40,3,3,0,4
305,15,41,3,3,0,5
306,15,42,3,3,0,5
307,15,43,5,5,0,10
308,15,44,5,5,0,14
309,15,45,3,3,0,4
310,15,46,5,5,0,10
311,15,47,5,5,0,14
312,15,48,3,3,0,4
313,15,49,3,3,0,5
314,15,50,1,1,0,1
315,15,51,1,1,0,1
316,15,52,3,3,0,5
317,15,53,3,3,0,5
318,15,54,3,3,0,5
319,15,55,1,1,0,1
320,16,12,6,6,0,12
321,16,13,6,6,0,12
322,16,14,1,1,0,1
323,16,15,3,3,0,4
324,16,16,4,4,0,12
325,16,17,3,3,0,4
326,16,18,6,6,0,12
327,16,19,3,3,0,8
328,16,20,4,4,0,6
329,16,21,2,2,0,2
330,16,22,2,2,0,3
331,16,23,3,3,0,8
332,16,24,2,2,0,3
333,16,25,6,6,0,12
334,16,26,3,3,0,4
335,16,27,3,3,0,4
336,16,28,4,4,0,12
337,16,29,6,6,0,12
338,16,30,4,4,0,6
339,16,31,2,2,0,2
340,16,32,2,2,0,3
341,16,33,4,4,0,12
342,16,34,3,3,0,8
343,16,35,2,2,0,3
344,16,36,4,4,0,12
345,16,37,3,3,0,8
346,16,38,6,6,0,12
347,16,39,4,4,0,6
348,16,40,4,4,0,6
349,16,41,2,2,0,2
350,16,42,2,2,0,2
351,16,43,6,6,0,12
352,16,44,3,3,0,4
353,16,45,3,3,0,4
354,16,46,6,6,0,12
355,16,47,3,3,0,4
356,16,48,3,3,0,4
357,16,49,2,2,0,2
358,16,50,1,1,0,1
359,16,51,1,1,0,1
360,16,52,2,2,0,2
361,16,53,2,2,0,2
362,16,54,2,2,0,2
363,16,55,1,1,0,1
364,17,12,6,6,0,12
365,17,13,6,6,0,12
366,17,14,1,1,0,1
367,17,15,3,3,0,4
368,17,16,3,3,0,8
369,17,17,4,4,0,6
370,17,18,6,6,0,12
371,17,19,4,4,0,12
372,17,20,3,3,0,4
373,17,21,2,2,0,2
374,17,22,2,2,0,3
375,17,23,4,4,0,12
376,17,24,2,2,0,3
377,17,25,6,6,0,12
378,17,26,3,3,0,4
379,17,27,4,4,0,6
380,17,28,3,3,0,8
381,17,29,6,6,0,12
382,17,30,3,3,0,4
383,17,31,2,2,0,2
384,17,32,2,2,0,3
385,17,33,3,3,0,8
386,17,34,4,4,0,12
387,17,35,2,2,0,3
388,17,36,3,3,0,8
389,17,37,4,4,0,12
390,17,38,6,6,0,12
391,17,39,3,3,0,4
392,17,40,3,3,0,4
393,17,41,2,2,0,2
394,17,42,2,2,0,2
395,17,43,6,6,0,12
396,17,44,3,3,0,4
397,17,45,4,4,0,6
398,17,46,6,6,0,12
399,17,47,3,3,0,4
400,17,48,4,4,0,6
401,17,49,2,2,0,2
402,17,50,1,1,0,1
403,17,51,1,1,0,1
404,17,52,2,2,0,2
405,17,53,2,2,0,2
406,17,54,2,2,0,2
407,17,55,1,1,0,1
408,18,12,10,10,0,36
409,18,13,8,8,0,24
410,18,14,1,1,0,1
411,18,15,5,5,0,10
412,18,16,6,6,0,12
413,18,17,6,6,0,12
414,18,18,10,10,0,36
415,18,19,6,6,0,12
416,18,20,6,6,0,12
417,18,21,3,3,0,5
418,18,22,2,2,0,3
419,18,23,6,6,0,12
420,18,24,2,2,0,3
421,18,25,8,8,0,24
422,18,26,5,5,0,10
423,18,27,6,6,0,12
424,18,28,6,6,0,12
425,18,29,8,8,0,24
426,18,30,6,6,0,12
427,18,31,3,3,0,5
428,18,32,2,2,0,3
429,18,33,6,6,0,12
430,18,34,6,6,0,12
431,18,35,2,2,0,3
432,18,36,6,6,0,12
433,18,37,6,6,0,12
434,18,38,8,8,0,24
435,18,39,6,6,0,12
436,18,40,6,6,0,12
437,18,41,3,3,0,5
438,18,42,3,3,0,5
439,18,43,10,10,0,36
440,18,44,5,5,0,10
441,18,45,6,6,0,12
442,18,46,10,10,0,36
443,18,47,5,5,0,10
444,18,48,6,6,0,12
445,18,49,3,3,0,5
446,18,50,1,1,0,1
447,18,51,1,1,0,1
448,18,52,3,3,0,5
449,18,53,3,3,0,5
450,18,54,3,3,0,5
451,18,55,1,1,0,1
452,19,12,6,6,0,12
453,19,13,6,6,0,12
454,19,14,1,1,0,1
455,19,15,3,3,0,4
456,19,16,3,3,0,4
457,19,17,4,4,0,12
458,19,18,6,6,0,12
459,19,19,4,4,0,6
460,19,20,3,3,0,8
461,19,21,2,2,0,2
462,19,22,2,2,0,3
463,19,23,4,4,0,6
464,19,24,2,2,0,3
465,19,25,6,6,0,12
466,19,26,3,3,0,4
467,19,27,4,4,0,12
468,19,28,3,3,0,4
469,19,29,6,6,0,12
470,19,30,3,3,0,8
471,19,31,2,2,0,2
472,19,32,2,2,0,3
473,19,33,3,3,0,4
474,19,34,4,4,0,6
475,19,35,2,2,0,3
476,19,36,3,3,0,4
477,19,37,4,4,0,6
478,19,38,6,6,0,12
479,19,39,3,3,0,8
480,19,40,3,3,0,8
481,19,41,2,2,0,2
482,19,42,2,2,0,2
483,19,43,6,6,0,12
484,19,44,3,3,0,4
485,19,45,4,4,0,12
486,19,46,6,6,0,12
487,19,47,3,3,0,4
488,19,48,4,4,0,12
489,19,49,2,2,0,2
490,19,50,1,1,0,1
491,19,51,1,1,0,1
492,19,52,2,2,0,2
493,19,53,2,2,0,2
494,19,54,2,2,0,2
495,19,55,1,1,0,1
496,20,12,6,6,0,12
497,20,13,6,6,0,12
498,20,14,1,1,0,1
499,20,15,3,3,0,4
500,20,16,4,4,0,6
501,20,17,3,3,0,8
502,20,18,6,6,0,12
503,20,19,3,3,0,4
504,20,20,4,4,0,12
505,20,21,2,2,0,2
506,20,22,2,2,0,3
507,20,23,3,3,0,4
508,20,24,2,2,0,3
509,20,25,6,6,0,12
510,20,26,3,3,0,4
511,20,27,3,3,0,8
512,20,28,4,4,0,6
513,20,29,6,6,0,12
514,20,30,4,4,0,12
515,20,31,2,2,0,2
516,20,32,2,2,0,3
517,20,33,4,4,0,6
518,20,34,3,3,0,4
519,20,35,2,2,0,3
520,20,36,4,4,0,6
521,20,37,3,3,0,4
522,20,38,6,6,0,12
523,20,39,4,4,0,12
524,20,40,4,4,0,12
525,20,41,2,2,0,2
526,20,42,2,2,0,2
527,20,43,6,6,0,12
528,20,44,3,3,0,4
529,20,45,3,3,0,8
530,20,46,6,6,0,12
531,20,47,3,3,0,4
532,20,48,3,3,0,8
533,20,49,2,2,0,2
534,20,50,1,1,0,1
535,20,51,1,1,0,1
536,20,52,2,2,0,2
537,20,53,2,2,0,2
538,20,54,2,2,0,2
539,20,55,1,1,0,1
540,21,12,3,3,0,5
541,21,13,3,3,0,5
542,21,14,1,1,0,1
543,21,15,3,3,0,5
544,21,16,2,2,0,2
545,21,17,2,2,0,2
546,21,18,3,3,0,5
547,21,19,2,2,0,2
548,21,20,2,2,0,2
549,21,21,2,2,0,5
550,21,22,2,2,0,2
551,21,23,2,2,0,2
552,21,24,2,2,0,2
553,21,25,3,3,0,5
554,21,26,3,3,0,5
555,21,27,2,2,0,2
556,21,28,2,2,0,2
557,21,29,3,3,0,5
558,21,30,2,2,0,2
559,21,31,2,2,0,2
560,21,32,2,2,0,2
561,21,33,2,2,0,2
562,21,34,2,2,0,2
563,21,35,2,2,0,2
564,21,36,2,2,0,2
565,21,37,2,2,0,2
566,21,38,3,3,0,5
567,21,39,2,2,0,2
568,21,40,2,2,0,2
569,21,41,2,2,0,2
570,21,42,2,2,0,2
571,21,43,3,3,0,5
572,21,44,3,3,0,5
573,21,45,2,2,0,2
574,21,46,3,3,0,5
575,21,47,3,3,0,5
576,21,48,2,2,0,2
577,21,49,2,2,0,5
578,21,50,1,1,0,1
579,21,51,1,1,0,1
580,21,52,2,2,0,5
581,21,53,2,2,0,5
582,21,54,2,2,0,2
583,21,55,1,1,0,1
584,22,12,2,2,0,3
585,22,13,2,2,0,3
586,22,14,1,1,0,1
587,22,15,3,3,0,5
588,22,16,2,2,0,3
589,22,17,2,2,0,3
590,22,18,2,2,0,3
591,22,19,2,2,0,3
592,22,20,2,2,0,3
593,22,21,2,2,0,2
594,22,22,2,2,0,5
595,22,23,2,2,0,3
596,22,24,2,2,0,5
597,22,25,2,2,0,3
598,22,26,3,3,0,5
599,22,27,2,2,0,3
600,22,28,2,2,0,3
601,22,29,2,2,0,3
602,22,30,2,2,0,3
603,22,31,2,2,0,2
604,22,32,2,2,0,5
605,22,33,2,2,0,3
606,22,34,2,2,0,3
607,22,35,2,2,0,5
608,22,36,2,2,0,3
609,22,37,2,2,0,3
610,22,38,2,2,0,3
611,22,39,2,2,0,3
612,22,40,2,2,0,3
613,22,41,2,2,0,2
614,22,42,2,2,0,2
615,22,43,2,2,0,3
616,22,44,3,3,0,5
617,22,45,2,2,0,3
618,22,46,2,2,0,3
619,22,47,3,3,0,5
620,22,48,2,2,0,3
621,22,49,2,2,0,2
622,22,50,1,1,0,1
623,22,51,1,1,0,1
624,22,52,2,2,0,2
625,22,53,2,2,0,2
626,22,54,2,2,0,2
627,22,55,1,1,0,1
628,23,12,6,6,0,12
629,23,13,6,6,0,12
630,23,14,1,1,0,1
631,23,15,3,3,0,4
632,23,16,3,3,0,8
633,23,17,4,4,0,6
634,23,18,6,6,0,12
635,23,19,4,4,0,12
636,23,20,3,3,0,4
637,23,21,2,2,0,2
638,23,22,2,2,0,3
639,23,23,4,4,0,12
640,23,24,2,2,0,3
641,23,25,6,6,0,12
642,23,26,3,3,0,4
643,23,27,4,4,0,6
644,23,28,3,3,0,8
645,23,29,6,6,0,12
646,23,30,3,3,0,4
647,23,31,2,2,0,2
648,23,32,2,2,0,3
649,23,33,3,3,0,8
650,23,34,4,4,0,12
651,23,35,2,2,0,3
652,23,36,3,3,0,8
653,23,37,4,4,0,12
654,23,38,6,6,0,12
655,23,39,3,3,0,4
656,23,40,3,3,0,4
657,23,41,2,2,0,2
658,23,42,2,2,0,2
659,23,43,6,6,0,12
660,23,44,3,3,0,4
661,23,45,4,4,0,6
662,23,46,6,6,0,12
663,23,47,3,3,0,4
664,23,48,4,4,0,6
665,23,49,2,2,0,2
666,23,50,1,1,0,1
667,23,51,1,1,0,1
668,23,52,2,2,0,2
669,23,53,2,2,0,2
670,23,54,2,2,0,2
671,23,55,1,1,0,1
672,24,12,2,2,0,3
673,24,13,2,2,0,3
