pivot_order,support_column,right_inverse_row_weight
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,11,1
10,12,25
11,13,23
12,14,1
13,15,23
14,16,28
15,17,26
16,18,28
17,21,3
18,22,23
19,24,3
20,25,1
21,26,1
22,29,17
23,30,18
24,31,21
25,32,3
26,33,1
27,35,20
28,38,1
29,41,29
30,44,5
31,47,29
32,50,4
