generator_id,target_nonzero_count,target_nonidentity_count,source_lift_nonzero_count,source_lift_nonidentity_count,source_lift_rank,intertwiner_residual_nonzero_count,kernel_identity_residual_nonzero_count
0,33,52,798,787,56,0,0
1,33,52,785,769,56,0,0
2,33,52,737,729,56,0,0
3,33,52,836,822,56,0,0
4,33,16,437,401,56,0,0
5,33,16,442,408,56,0,0
6,33,16,515,482,56,0,0
7,33,16,560,526,56,0,0
8,33,16,398,364,56,0,0
