cycle_type,partition_desc,class_size,centralizer_size,cycle_count,support_size,fixed_points,all_transposition_distance,parity
1 2^2 3 12,12+3+2+2+1,8447576417280000,288,5,19,1,15,odd
1 2^2 4 11,11+4+2+2+1,6911653432320000,352,5,19,1,15,odd
1 2^2 5 10,10+5+2+2+1,6082255020441600,400,5,19,1,15,odd
1 2^2 6 9,9+6+2+2+1,5631717611520000,432,5,19,1,15,odd
1 2^2 7 8,8+7+2+2+1,5430584839680000,448,5,19,1,15,odd
1 2^3 13,13+2+2+2+1,3898881423360000,624,5,19,1,15,odd
1 3 4 5 7,7+5+4+3+1,5792623828992000,420,5,19,1,15,odd
1 3 4 6^2,6+6+4+3+1,2815858805760000,864,5,19,1,15,odd
1 3 4^2 8,8+4+4+3+1,3167841156480000,768,5,19,1,15,odd
1 3 5^2 6,6+5+5+3+1,2703224453529600,900,5,19,1,15,odd
1 3^2 4 9,9+4+3+3+1,3754478407680000,648,5,19,1,15,odd
1 3^2 5 8,8+5+3+3+1,3379030566912000,720,5,19,1,15,odd
1 3^2 6 7,7+6+3+3+1,3218124349440000,756,5,19,1,15,odd
1 3^3 10,10+3+3+3+1,1501791363072000,1620,5,19,1,15,odd
1 4 5^3,5+5+5+4+1,810967336058880,3000,5,19,1,15,odd
1 4^2 5 6,6+5+4+4+1,2534272925184000,960,5,19,1,15,odd
1 4^3 7,7+4+4+4+1,905097473280000,2688,5,19,1,15,odd
2 3 4 5 6,6+5+4+3+2,3379030566912000,720,5,20,0,15,odd
2 3 4^2 7,7+4+4+3+2,1810194946560000,1344,5,20,0,15,odd
2 3 5^3,5+5+5+3+2,540644890705920,4500,5,20,0,15,odd
2 3^2 4 8,8+4+3+3+2,2111894104320000,1152,5,20,0,15,odd
2 3^2 5 7,7+5+3+3+2,1930874609664000,1260,5,20,0,15,odd
2 3^2 6^2,6+6+3+3+2,938619601920000,2592,5,20,0,15,odd
2 3^3 9,9+3+3+3+2,834328535040000,2916,5,20,0,15,odd
2 4^2 5^2,5+5+4+4+2,760281877555200,3200,5,20,0,15,odd
2 4^3 6,6+4+4+4+2,527973526080000,4608,5,20,0,15,odd
2^2 3 4 9,9+4+3+2+2,2815858805760000,864,5,20,0,15,odd
2^2 3 5 8,8+5+3+2+2,2534272925184000,960,5,20,0,15,odd
2^2 3 6 7,7+6+3+2+2,2413593262080000,1008,5,20,0,15,odd
2^2 3^2 10,10+3+3+2+2,1689515283456000,1440,5,20,0,15,odd
2^2 4 5 7,7+5+4+2+2,2172233935872000,1120,5,20,0,15,odd
2^2 4 6^2,6+6+4+2+2,1055947052160000,2304,5,20,0,15,odd
2^2 4^2 8,8+4+4+2+2,1187940433680000,2048,5,20,0,15,odd
2^2 5^2 6,6+5+5+2+2,1013709170073600,2400,5,20,0,15,odd
2^3 3 11,11+3+2+2+2,1535922984960000,1584,5,20,0,15,odd
2^3 4 10,10+4+2+2+2,1267136462592000,1920,5,20,0,15,odd
2^3 5 9,9+5+2+2+2,1126343522304000,2160,5,20,0,15,odd
2^3 6 8,8+6+2+2+2,1055947052160000,2304,5,20,0,15,odd
2^3 7^2,7+7+2+2+2,517198556160000,4704,5,20,0,15,odd
2^4 12,12+2+2+2+2,527973526080000,4608,5,20,0,15,odd
3 4^3 5,5+4+4+4+3,422378820864000,5760,5,20,0,15,odd
3^2 4 5^2,5+5+4+3+3,675806113382400,3600,5,20,0,15,odd
3^2 4^2 6,6+4+4+3+3,703964701440000,3456,5,20,0,15,odd
3^3 4 7,7+4+3+3+3,536354058240000,4536,5,20,0,15,odd
3^3 5 6,6+5+3+3+3,500597121024000,4860,5,20,0,15,odd
3^4 8,8+3+3+3+3,156436600320000,15552,5,20,0,15,odd
4^5,4+4+4+4+4,19799007228000,122880,5,20,0,15,odd
1^3 17,17+1+1+1,23851980472320000,102,4,17,3,16,even
1^2 2 16,16+2+1+1,38014093877760000,64,4,18,2,16,even
1^2 3 15,15+3+1+1,27032244535296000,90,4,18,2,16,even
1^2 4 14,14+4+1+1,21722339358720000,112,4,18,2,16,even
1^2 5 13,13+5+1+1,18714630832128000,130,4,18,2,16,even
1^2 6 12,12+6+1+1,16895152834560000,144,4,18,2,16,even
1^2 7 11,11+7+1+1,15798064988160000,154,4,18,2,16,even
1^2 8 10,10+8+1+1,15205637551104000,160,4,18,2,16,even
1^2 9^2,9+9+1+1,7508956815360000,324,4,18,2,16,even
1 2 3 14,14+3+2+1,28963119144960000,84,4,19,1,16,even
1 2 4 13,13+4+2+1,23393288540160000,104,4,19,1,16,even
1 2 5 12,12+5+2+1,20274183401472000,120,4,19,1,16,even
1 2 6 11,11+6+2+1,18431075819520000,132,4,19,1,16,even
1 2 7 10,10+7+2+1,17377871486976000,140,4,19,1,16,even
1 2 8 9,9+8+2+1,16895152834560000,144,4,19,1,16,even
1 2^2 15,15+2+2+1,20274183401472000,120,4,19,1,16,even
1 3 4 12,12+4+3+1,16895152834560000,144,4,19,1,16,even
1 3 5 11,11+5+3+1,14744860655616000,165,4,19,1,16,even
1 3 6 10,10+6+3+1,13516122267648000,180,4,19,1,16,even
1 3 7 9,9+7+3+1,12872497397760000,189,4,19,1,16,even
1 3 8^2,8+8+3+1,6335682312960000,384,4,19,1,16,even
1 3^2 13,13+3+3+1,10397017128960000,234,4,19,1,16,even
1 4 5 10,10+5+4+1,12164510040883200,200,4,19,1,16,even
1 4 6 9,9+6+4+1,11263435223040000,216,4,19,1,16,even
1 4 7 8,8+7+4+1,10861169679360000,224,4,19,1,16,even
1 4^2 11,11+4+4+1,6911653432320000,352,4,19,1,16,even
1 5 6 8,8+6+5+1,10137091700736000,240,4,19,1,16,even
1 5 7^2,7+7+5+1,4965106139136000,490,4,19,1,16,even
1 5^2 9,9+5+5+1,5406448907059200,450,4,19,1,16,even
1 6^2 7,7+6+6+1,4827186524160000,504,4,19,1,16,even
2 3 4 11,11+4+3+2,9215537909760000,264,4,20,0,16,even
2 3 5 10,10+5+3+2,8109673360588800,300,4,20,0,16,even
2 3 6 9,9+6+3+2,7508956815360000,324,4,20,0,16,even
2 3 7 8,8+7+3+2,7240779786240000,336,4,20,0,16,even
2 3^2 12,12+3+3+2,5631717611520000,432,4,20,0,16,even
2 4 5 9,9+5+4+2,6758061133824000,360,4,20,0,16,even
2 4 6 8,8+6+4+2,6335682312960000,384,4,20,0,16,even
2 4 7^2,7+7+4+2,3103191336960000,784,4,20,0,16,even
2 4^2 10,10+4+4+2,3801409387776000,640,4,20,0,16,even
2 5 6 7,7+6+5+2,5792623828992000,420,4,20,0,16,even
2 5^2 8,8+5+5+2,3041127510220800,800,4,20,0,16,even
2 6^3,6+6+6+2,938619601920000,2592,4,20,0,16,even
2^2 3 13,13+3+2+2,7797762846720000,312,4,20,0,16,even
2^2 4 12,12+4+2+2,6335682312960000,384,4,20,0,16,even
2^2 5 11,11+5+2+2,5529322745856000,440,4,20,0,16,even
2^2 6 10,10+6+2+2,5068545850368000,480,4,20,0,16,even
2^2 7 9,9+7+2+2,4827186524160000,504,4,20,0,16,even
2^2 8^2,8+8+2+2,2375880867360000,1024,4,20,0,16,even
2^3 14,14+2+2+2,3620389893120000,672,4,20,0,16,even
3 4 5 8,8+5+4+3,5068545850368000,480,4,20,0,16,even
3 4 6 7,7+6+4+3,4827186524160000,504,4,20,0,16,even
3 4^2 9,9+4+4+3,2815858805760000,864,4,20,0,16,even
3 5 6^2,6+6+5+3,2252687044608000,1080,4,20,0,16,even
3 5^2 7,7+5+5+3,2317049531596800,1050,4,20,0,16,even
3^2 4 10,10+4+3+3,3379030566912000,720,4,20,0,16,even
3^2 5 9,9+5+3+3,3003582726144000,810,4,20,0,16,even
3^2 6 8,8+6+3+3,2815858805760000,864,4,20,0,16,even
3^2 7^2,7+7+3+3,1379196149760000,1764,4,20,0,16,even
3^3 11,11+3+3+3,1365264875520000,1782,4,20,0,16,even
4 5^2 6,6+5+5+4,2027418340147200,1200,4,20,0,16,even
4^2 5 7,7+5+4+4,2172233935872000,1120,4,20,0,16,even
4^2 6^2,6+6+4+4,1055947052160000,2304,4,20,0,16,even
4^3 8,8+4+4+4,791960289120000,3072,4,20,0,16,even
5^4,5+5+5+5,162193467211776,15000,4,20,0,16,even
1^2 18,18+1+1,67580611338240000,36,3,18,2,17,odd
1 2 17,17+2+1,71555941416960000,34,3,19,1,17,odd
1 3 16,16+3+1,50685458503680000,48,3,19,1,17,odd
1 4 15,15+4+1,40548366802944000,60,3,19,1,17,odd
1 5 14,14+5+1,34755742973952000,70,3,19,1,17,odd
1 6 13,13+6+1,31191051386880000,78,3,19,1,17,odd
1 7 12,12+7+1,28963119144960000,84,3,19,1,17,odd
1 8 11,11+8+1,27646613729280000,88,3,19,1,17,odd
1 9 10,10+9+1,27032244535296000,90,3,19,1,17,odd
2 3 15,15+3+2,27032244535296000,90,3,20,0,17,odd
2 4 14,14+4+2,21722339358720000,112,3,20,0,17,odd
2 5 13,13+5+2,18714630832128000,130,3,20,0,17,odd
2 6 12,12+6+2,16895152834560000,144,3,20,0,17,odd
2 7 11,11+7+2,15798064988160000,154,3,20,0,17,odd
2 8 10,10+8+2,15205637551104000,160,3,20,0,17,odd
2 9^2,9+9+2,7508956815360000,324,3,20,0,17,odd
2^2 16,16+2+2,19007046938880000,128,3,20,0,17,odd
3 4 13,13+4+3,15595525693440000,156,3,20,0,17,odd
3 5 12,12+5+3,13516122267648000,180,3,20,0,17,odd
3 6 11,11+6+3,12287383879680000,198,3,20,0,17,odd
3 7 10,10+7+3,11585247657984000,210,3,20,0,17,odd
3 8 9,9+8+3,11263435223040000,216,3,20,0,17,odd
3^2 14,14+3+3,9654373048320000,252,3,20,0,17,odd
4 5 11,11+5+4,11058645491712000,220,3,20,0,17,odd
4 6 10,10+6+4,10137091700736000,240,3,20,0,17,odd
4 7 9,9+7+4,9654373048320000,252,3,20,0,17,odd
4 8^2,8+8+4,4751761734720000,512,3,20,0,17,odd
4^2 12,12+4+4,6335682312960000,384,3,20,0,17,odd
5 6 9,9+6+5,9010748178432000,270,3,20,0,17,odd
5 7 8,8+7+5,8688935743488000,280,3,20,0,17,odd
5^2 10,10+5+5,4865804016353280,500,3,20,0,17,odd
6 7^2,7+7+6,4137588449280000,588,3,20,0,17,odd
6^2 8,8+6+6,4223788208640000,576,3,20,0,17,odd
1 19,19+1,128047474114560000,19,2,19,1,18,even
10^2,10+10,12164510040883200,200,2,20,0,18,even
2 18,18+2,67580611338240000,36,2,20,0,18,even
3 17,17+3,47703960944640000,51,2,20,0,18,even
4 16,16+4,38014093877760000,64,2,20,0,18,even
5 15,15+5,32438693442355200,75,2,20,0,18,even
6 14,14+6,28963119144960000,84,2,20,0,18,even
7 13,13+7,26735186903040000,91,2,20,0,18,even
8 12,12+8,25342729251840000,96,2,20,0,18,even
9 11,11+9,24574767759360000,99,2,20,0,18,even
20,20,121645100408832000,20,1,20,0,19,odd
