edge_id,u,v,u_label,v_label,shared_duad,swapped_pair,interface_weight,selector_duad_index,selector_duad,selector_choice
0,0,1,"{B-,B+,V-}","{B-,B+,V+}","{B-,B+}","{V-,V+}",73728,0,"{B-,B+}",0
1,0,4,"{B-,B+,V-}","{B-,V-,V+}","{B-,V-}","{B+,V+}",55296,1,"{B-,V-}",0
2,0,11,"{B-,B+,V-}","{B+,V-,S-}","{B+,V-}","{B-,S-}",27648,5,"{B+,V-}",1
3,1,7,"{B-,B+,V+}","{B-,V+,S-}","{B-,V+}","{B+,S-}",221184,2,"{B-,V+}",1
4,1,14,"{B-,B+,V+}","{B+,V+,S+}","{B+,V+}","{B-,S+}",110592,6,"{B+,V+}",2
5,2,3,"{B-,B+,S-}","{B-,B+,S+}","{B-,B+}","{S-,S+}",73728,0,"{B-,B+}",0
6,2,5,"{B-,B+,S-}","{B-,V-,S-}","{B-,S-}","{B+,V-}",196608,3,"{B-,S-}",0
7,2,15,"{B-,B+,S-}","{B+,S-,S+}","{B+,S-}","{B-,S+}",98304,7,"{B+,S-}",2
8,3,8,"{B-,B+,S+}","{B-,V+,S+}","{B-,S+}","{B+,V+}",294912,4,"{B-,S+}",1
9,3,12,"{B-,B+,S+}","{B+,V-,S+}","{B+,S+}","{B-,V-}",147456,8,"{B+,S+}",0
10,4,8,"{B-,V-,V+}","{B-,V+,S+}","{B-,V+}","{V-,S+}",221184,2,"{B-,V+}",1
11,4,10,"{B-,V-,V+}","{B+,V-,V+}","{V-,V+}","{B-,B+}",82944,9,"{V-,V+}",0
12,5,6,"{B-,V-,S-}","{B-,V-,S+}","{B-,V-}","{S-,S+}",55296,1,"{B-,V-}",0
13,5,18,"{B-,V-,S-}","{V-,S-,S+}","{V-,S-}","{B-,S+}",73728,10,"{V-,S-}",2
14,6,9,"{B-,V-,S+}","{B-,S-,S+}","{B-,S+}","{V-,S-}",294912,4,"{B-,S+}",1
15,6,17,"{B-,V-,S+}","{V-,V+,S+}","{V-,S+}","{B-,V+}",110592,11,"{V-,S+}",1
16,7,9,"{B-,V+,S-}","{B-,S-,S+}","{B-,S-}","{V+,S+}",196608,3,"{B-,S-}",0
17,7,16,"{B-,V+,S-}","{V-,V+,S-}","{V+,S-}","{B-,V-}",294912,12,"{V+,S-}",1
18,8,14,"{B-,V+,S+}","{B+,V+,S+}","{V+,S+}","{B-,B+}",442368,13,"{V+,S+}",0
19,9,15,"{B-,S-,S+}","{B+,S-,S+}","{S-,S+}","{B-,B+}",393216,14,"{S-,S+}",0
20,10,12,"{B+,V-,V+}","{B+,V-,S+}","{B+,V-}","{V+,S+}",27648,5,"{B+,V-}",1
21,10,13,"{B+,V-,V+}","{B+,V+,S-}","{B+,V+}","{V-,S-}",110592,6,"{B+,V+}",2
22,11,13,"{B+,V-,S-}","{B+,V+,S-}","{B+,S-}","{V-,V+}",98304,7,"{B+,S-}",2
23,11,16,"{B+,V-,S-}","{V-,V+,S-}","{V-,S-}","{B+,V+}",73728,10,"{V-,S-}",2
24,12,18,"{B+,V-,S+}","{V-,S-,S+}","{V-,S+}","{B+,S-}",110592,11,"{V-,S+}",1
25,13,19,"{B+,V+,S-}","{V+,S-,S+}","{V+,S-}","{B+,S+}",294912,12,"{V+,S-}",1
26,14,15,"{B+,V+,S+}","{B+,S-,S+}","{B+,S+}","{V+,S-}",147456,8,"{B+,S+}",0
27,16,17,"{V-,V+,S-}","{V-,V+,S+}","{V-,V+}","{S-,S+}",82944,9,"{V-,V+}",0
28,17,19,"{V-,V+,S+}","{V+,S-,S+}","{V+,S+}","{V-,S-}",442368,13,"{V+,S+}",0
29,18,19,"{V-,S-,S+}","{V+,S-,S+}","{S-,S+}","{V-,V+}",393216,14,"{S-,S+}",0
