domain_id,a,b,c,hidden_count,part_code,forced_target_row
0,0,1,2,2,3,-1
1,0,1,3,2,3,-1
2,0,1,4,2,3,-1
3,0,1,5,2,3,-1
4,0,1,6,2,3,-1
5,0,1,7,2,3,-1
6,0,2,3,1,1,2
7,0,2,4,1,1,3
8,0,2,5,1,1,4
9,0,2,6,1,1,5
10,0,2,7,1,1,6
11,0,3,4,1,1,7
12,0,3,5,1,1,8
13,0,3,6,1,1,9
14,0,3,7,1,1,10
15,0,4,5,1,1,11
16,0,4,6,1,1,12
17,0,4,7,1,1,13
18,0,5,6,1,1,14
19,0,5,7,1,1,15
20,0,6,7,1,1,16
21,1,2,3,1,2,18
22,1,2,4,1,2,19
23,1,2,5,1,2,20
24,1,2,6,1,2,21
25,1,2,7,1,2,22
26,1,3,4,1,2,23
27,1,3,5,1,2,24
28,1,3,6,1,2,25
29,1,3,7,1,2,26
30,1,4,5,1,2,27
31,1,4,6,1,2,28
32,1,4,7,1,2,29
33,1,5,6,1,2,30
34,1,5,7,1,2,31
35,1,6,7,1,2,32
36,2,3,4,0,0,-1
37,2,3,5,0,0,-1
38,2,3,6,0,0,-1
39,2,3,7,0,0,-1
40,2,4,5,0,0,-1
41,2,4,6,0,0,-1
42,2,4,7,0,0,-1
43,2,5,6,0,0,-1
44,2,5,7,0,0,-1
45,2,6,7,0,0,-1
46,3,4,5,0,0,-1
47,3,4,6,0,0,-1
48,3,4,7,0,0,-1
49,3,5,6,0,0,-1
50,3,5,7,0,0,-1
51,3,6,7,0,0,-1
52,4,5,6,0,0,-1
53,4,5,7,0,0,-1
54,4,6,7,0,0,-1
55,5,6,7,0,0,-1
