observable_id,observable_code,value,scale_code
0,0,32,0
1,1,1740,0
2,2,4,0
3,3,1000000000000,0
4,4,0,0
5,5,0,0
6,6,0,0
7,7,1511522628152,0
8,8,1551625624511,0
9,9,32,0
10,10,0,0
11,11,1,0
12,12,1,0
13,13,0,0
