dual_row_id,face_id,face_type_code,multiplicity,a0_offset_x1e12,a1_neg_normal_x_x1e12,a2_neg_normal_y_x1e12,a3_neg_normal_z_x1e12,test_value_x1e12,positive_flag
0,0,0,55,1551625624511,0,525731112119,850650808352,1551625624511,1
1,1,0,55,1551625624511,0,-525731112119,850650808352,1551625624511,1
2,2,0,55,1551625624511,850650808352,0,525731112119,1551625624511,1
3,3,0,55,1551625624511,-850650808352,0,525731112119,1551625624511,1
4,4,0,55,1551625624511,-525731112119,-850650808352,0,1551625624511,1
5,5,0,55,1551625624511,0,-525731112119,-850650808352,1551625624511,1
6,6,0,55,1551625624511,-850650808352,0,-525731112119,1551625624511,1
7,7,0,55,1551625624511,525731112119,-850650808352,0,1551625624511,1
8,8,0,55,1551625624511,0,525731112119,-850650808352,1551625624511,1
9,9,0,55,1551625624511,-525731112119,850650808352,0,1551625624511,1
10,10,0,55,1551625624511,850650808352,0,-525731112119,1551625624511,1
11,11,0,55,1551625624511,525731112119,850650808352,0,1551625624511,1
12,12,1,54,1511522628152,356822089773,0,934172358963,1511522628152,1
13,13,1,54,1511522628152,-356822089773,0,934172358963,1511522628152,1
14,14,1,54,1511522628152,-577350269190,-577350269190,-577350269190,1511522628152,1
15,15,1,54,1511522628152,0,-934172358963,-356822089773,1511522628152,1
16,16,1,54,1511522628152,577350269190,-577350269190,577350269190,1511522628152,1
17,17,1,54,1511522628152,-356822089773,0,-934172358963,1511522628152,1
18,18,1,54,1511522628152,-577350269190,577350269190,-577350269190,1511522628152,1
19,19,1,54,1511522628152,-577350269190,577350269190,577350269190,1511522628152,1
20,20,1,54,1511522628152,0,-934172358963,356822089773,1511522628152,1
21,21,1,54,1511522628152,-934172358963,356822089773,0,1511522628152,1
22,22,1,54,1511522628152,934172358963,-356822089773,0,1511522628152,1
23,23,1,54,1511522628152,577350269190,577350269190,577350269190,1511522628152,1
24,24,1,54,1511522628152,577350269190,-577350269190,-577350269190,1511522628152,1
25,25,1,54,1511522628152,934172358963,356822089773,0,1511522628152,1
26,26,1,54,1511522628152,-577350269190,-577350269190,577350269190,1511522628152,1
27,27,1,54,1511522628152,-934172358963,-356822089773,0,1511522628152,1
28,28,1,54,1511522628152,0,934172358963,356822089773,1511522628152,1
29,29,1,54,1511522628152,0,934172358963,-356822089773,1511522628152,1
30,30,1,54,1511522628152,356822089773,0,-934172358963,1511522628152,1
31,31,1,54,1511522628152,577350269190,577350269190,-577350269190,1511522628152,1
