surface_id,surface_code,certified_input_flag,finite_readout_flag,transition_backed_flag,stress_backed_flag,obstruction_flag,count_value
0,0,1,1,1,0,0,642
1,1,1,1,0,1,0,100
2,2,1,1,0,1,0,10
3,3,1,1,0,1,1,0
4,4,0,0,1,1,1,0
5,5,0,0,0,1,1,0
6,6,0,0,0,0,1,0
