gap_id,gap_code,certified_flag,open_flag,obstruction_flag,next_flag
0,0,1,0,0,0
1,1,0,1,1,1
2,2,0,1,1,0
3,3,0,1,1,0
4,4,0,1,1,0
5,5,0,1,1,0
6,6,0,1,1,0
7,7,0,1,1,0
8,8,0,1,1,0
