surface_id,surface_code,row_count,certified_flag,relation_cover_flag,functorial_map_flag,schema_atom_key_flag,stress_atom_key_flag
0,0,14,1,0,0,1,1
1,1,100,1,0,0,1,1
2,2,642,1,0,0,0,0
3,3,642,1,0,0,0,0
4,4,259,1,0,0,0,0
5,5,83,1,1,0,1,0
6,6,2,1,1,0,1,0
