bridge_id,bridge_code,source_surface_code,target_surface_code,relation_cover_flag,single_valued_flag,schema_key_flag,candidate_count,certified_map_flag,obstruction_flag
0,0,5,2,0,0,1,24,0,1
1,1,5,2,1,0,1,59,0,1
2,2,3,4,1,1,1,259,1,0
3,3,4,0,0,0,0,0,0,1
4,4,4,1,0,0,0,0,0,1
5,5,2,0,0,0,0,0,0,1
6,6,6,1,1,0,0,0,0,1
