word_id,symbol_0_id,symbol_1_id,symbol_2_id,symbol_3_id,symbol_4_id,trace_detour_overhead,signature_valley_depth,rooted_full_path_count,global_full_path_count,rooted_first_missing_prefix_length,global_first_missing_prefix_length,rooted_last_viable_prefix_count,global_last_viable_prefix_count
0,2,1,4,2,5,2,37,0,0,4,4,8,32
1,2,1,5,2,4,2,37,0,0,5,5,8,32
