scope_code,word_id,prefix_length,frontier_carrier_id,available_symbol_id,outgoing_choice_count,required_symbol_flag
0,0,3,5,4,8,0
0,0,3,6,3,8,0
0,0,3,6,4,8,0
0,0,3,7,0,6,0
0,0,3,7,3,8,0
0,0,3,7,4,8,0
0,0,3,13,4,8,0
0,0,3,13,5,8,0
1,0,3,5,4,32,0
1,0,3,6,3,32,0
1,0,3,6,4,32,0
1,0,3,7,0,24,0
1,0,3,7,3,32,0
1,0,3,7,4,32,0
1,0,3,13,4,32,0
1,0,3,13,5,32,0
0,1,4,2,2,8,0
0,1,4,3,0,6,0
0,1,4,3,1,6,0
0,1,4,3,2,8,0
0,1,4,10,2,4,0
0,1,4,10,5,4,0
0,1,4,11,0,6,0
0,1,4,11,1,6,0
0,1,4,11,2,8,0
0,1,4,11,5,8,0
0,1,4,12,2,4,0
0,1,4,12,3,4,0
0,1,4,12,5,4,0
1,1,4,2,2,32,0
1,1,4,3,0,24,0
1,1,4,3,1,24,0
1,1,4,3,2,32,0
1,1,4,10,2,16,0
1,1,4,10,5,16,0
1,1,4,11,0,24,0
1,1,4,11,1,24,0
1,1,4,11,2,32,0
1,1,4,11,5,32,0
1,1,4,12,2,16,0
1,1,4,12,3,16,0
1,1,4,12,5,16,0
