mask,basis_cycle_ids,residue_edge_weight,total_basis_length,total_optical_action,total_connection_log_action,total_entropy_proxy,incidence_vector_mod2
0,,0,0,0,0.0,0.0,000000000000000000000000000000
1,0,8,8,1075200,44.83255169846203,11.666666666666666,110011011010000000000000001000
2,1,8,8,1320960,46.91199324014187,14.333333333333334,000110110000101010000000001000
3,0 1,10,16,2396160,91.7445449386039,26.0,110101101010101010000000000000
4,2,5,5,774144,29.17784861803507,8.4,000000001111000000001000000000
5,0 2,9,13,1849344,74.0104003164971,20.066666666666666,110011010101000000001000001000
6,1 2,13,13,2095104,76.08984185817694,22.733333333333334,000110111111101010001000001000
7,0 1 2,11,21,3170304,120.92239355663897,34.4,110101100101101010001000000000
8,3,10,10,1191936,54.60227926081865,12.933333333333334,110100000001111010001000100000
9,0 3,14,18,2267136,99.43483095928067,24.6,000111011011111010001000101000
10,1 3,10,18,2512896,101.51427250096052,27.266666666666666,110010110001010000001000101000
11,0 1 3,8,26,3588096,146.34682419942254,38.93333333333334,000001101011010000001000100000
12,2 3,11,15,1966080,83.78012787885372,21.333333333333336,110100001110111010000000100000
13,0 2 3,11,23,3041280,128.61267957731576,33.0,000111010100111010000000101000
14,1 2 3,11,23,3287040,130.6921211189956,35.66666666666667,110010111110010000000000101000
15,0 1 2 3,5,31,4362240,175.5246728174576,47.33333333333333,000001100100010000000000100000
16,4,8,8,1081344,44.66265266166664,11.733333333333333,101100000000001110000001000100
17,0 4,14,16,2156544,89.49520436012867,23.4,011111011010001110000001001100
18,1 4,10,16,2402304,91.57464590180851,26.066666666666666,101010110000100100000001001100
19,0 1 4,10,24,3477504,136.40719760027054,37.733333333333334,011001101010100100000001000100
20,2 4,13,13,1855488,73.84050127970171,20.133333333333333,101100001111001110001001000100
21,0 2 4,15,21,2930688,118.67305297816374,31.799999999999997,011111010101001110001001001100
22,1 2 4,15,21,3176448,120.75249451984358,34.46666666666667,101010111111100100001001001100
23,0 1 2 4,11,29,4251648,165.5850462183056,46.13333333333333,011001100101100100001001000100
24,3 4,10,18,2273280,99.26493192248529,24.666666666666664,011000000001110100001001100100
25,0 3 4,16,26,3348480,144.09748362094732,36.333333333333336,101011011011110100001001101100
26,1 3 4,16,26,3594240,146.17692516262716,39.0,011110110001011110001001101100
27,0 1 3 4,16,34,4669440,191.00947686108918,50.66666666666667,101101101011011110001001100100
28,2 3 4,11,23,3047424,128.44278054052035,33.06666666666667,011000001110110100000001100100
29,0 2 3 4,13,31,4122624,173.2753322389824,44.733333333333334,101011010100110100000001101100
30,1 2 3 4,17,31,4368384,175.35477378066224,47.400000000000006,011110111110011110000001101100
31,0 1 2 3 4,13,39,5443584,220.18732547912424,59.06666666666666,101101100100011110000001100100
32,5,5,5,691200,28.772383509926904,7.5,101100000000000001000001000000
33,0 5,11,13,1766400,73.60493520838892,19.166666666666664,011111011010000001000001001000
34,1 5,11,13,2012160,75.68437675006876,21.833333333333336,101010110000101011000001001000
35,0 1 5,11,21,3087360,120.51692844853079,33.5,011001101010101011000001000000
36,2 5,10,10,1465344,57.950232127961975,15.9,101100001111000001001001000000
37,0 2 5,12,18,2540544,102.78278382642401,27.566666666666666,011111010101000001001001001000
38,1 2 5,16,18,2786304,104.86222536810385,30.233333333333334,101010111111101011001001001000
39,0 1 2 5,12,26,3861504,149.69477706656588,41.9,011001100101101011001001000000
40,3 5,11,15,1883136,83.37466277074554,20.433333333333334,011000000001111011001001100000
41,0 3 5,17,23,2958336,128.20721446920757,32.1,101011011011111011001001101000
42,1 3 5,13,23,3204096,130.2866560108874,34.766666666666666,011110110001010001001001101000
43,0 1 3 5,13,31,4279296,175.11920770934944,46.43333333333334,101101101011010001001001100000
44,2 3 5,12,20,2657280,112.55251138878063,28.833333333333336,011000001110111011000001100000
45,0 2 3 5,14,28,3732480,157.38506308724266,40.5,101011010100111011000001101000
46,1 2 3 5,14,28,3978240,159.4645046289225,43.16666666666667,011110111110010001000001101000
47,0 1 2 3 5,10,36,5053440,204.2970563273845,54.83333333333333,101101100100010001000001100000
48,4 5,5,13,1772544,73.43503617159354,19.233333333333334,000000000000001111000000000100
49,0 4 5,13,21,2847744,118.26758787005556,30.9,110011011010001111000000001100
50,1 4 5,9,21,3093504,120.3470294117354,33.56666666666666,000110110000100101000000001100
51,0 1 4 5,11,29,4168704,165.17958111019743,45.233333333333334,110101101010100101000000000100
52,2 4 5,10,18,2546688,102.61288478962862,27.633333333333333,000000001111001111001000000100
53,0 2 4 5,14,26,3621888,147.44543648809065,39.3,110011010101001111001000001100
54,1 2 4 5,14,26,3867648,149.5248780297705,41.96666666666667,000110111111100101001000001100
55,0 1 2 4 5,12,34,4942848,194.3574297282325,53.63333333333333,110101100101100101001000000100
56,3 4 5,11,23,2964480,128.03731543241219,32.166666666666664,110100000001110101001000100100
57,0 3 4 5,15,31,4039680,172.8698671308742,43.833333333333336,000111011011110101001000101100
58,1 3 4 5,15,31,4285440,174.94930867255405,46.5,110010110001011111001000101100
59,0 1 3 4 5,13,39,5360640,219.78186037101608,58.16666666666667,000001101011011111001000100100
60,2 3 4 5,12,28,3738624,157.21516405044724,40.56666666666667,110100001110110101000000100100
61,0 2 3 4 5,12,36,4813824,202.0477157489093,52.233333333333334,000111010100110101000000101100
62,1 2 3 4 5,16,36,5059584,204.12715729058914,54.900000000000006,110010111110011111000000101100
63,0 1 2 3 4 5,10,44,6134784,248.95970898905114,66.56666666666666,000001100100011111000000100100
64,6,5,5,903168,29.87099579859502,9.8,110010000010000000100000000000
65,0 6,5,13,1978368,74.70354749705704,21.46666666666667,000001011000000000100000001000
66,1 6,11,13,2224128,76.78298903873689,24.133333333333333,110100110010101010100000001000
67,0 1 6,9,21,3299328,121.61554073719891,35.8,000111101000101010100000000000
68,2 6,8,10,1677312,59.04884441663009,18.200000000000003,110010001101000000101000000000
69,0 2 6,8,18,2752512,103.88139611509212,29.866666666666667,000001010111000000101000001000
70,1 2 6,14,18,2998272,105.96083765677196,32.53333333333333,110100111101101010101000001000
71,0 1 2 6,12,26,4073472,150.79338935523398,44.2,000111100111101010101000000000
72,3 6,11,15,2095104,84.47327505941367,22.733333333333334,000110000011111010101000100000
73,0 3 6,15,23,3170304,129.3058267578757,34.400000000000006,110101011001111010101000101000
74,1 3 6,9,23,3416064,131.38526829955555,37.06666666666666,000000110011010000101000101000
75,0 1 3 6,11,31,4491264,176.21781999801755,48.733333333333334,110011101001010000101000100000
76,2 3 6,10,20,2869248,113.65112367744874,31.133333333333336,000110001100111010100000100000
77,0 2 3 6,14,28,3944448,158.48367537591076,42.8,110101010110111010100000101000
78,1 2 3 6,8,28,4190208,160.5631169175906,45.46666666666667,000000111100010000100000101000
79,0 1 2 3 6,10,36,5265408,205.3956686160526,57.133333333333326,110011100110010000100000100000
80,4 6,11,13,1984512,74.53364846026166,21.53333333333333,011110000010001110100001000100
81,0 4 6,13,21,3059712,119.36620015872369,33.2,101101011000001110100001001100
82,1 4 6,11,21,3305472,121.44564170040353,35.86666666666667,011000110010100100100001001100
83,0 1 4 6,11,29,4380672,166.27819339886554,47.53333333333333,101011101000100100100001000100
84,2 4 6,14,18,2758656,103.71149707829673,29.933333333333334,011110001101001110101001000100
85,0 2 4 6,16,26,3833856,148.54404877675876,41.599999999999994,101101010111001110101001001100
86,1 2 4 6,14,26,4079616,150.6234903184386,44.266666666666666,011000111101100100101001001100
87,0 1 2 4 6,14,34,5154816,195.4560420169006,55.93333333333334,101011100111100100101001000100
88,3 4 6,13,23,3176448,129.1359277210803,34.46666666666667,101010000011110100101001100100
89,0 3 4 6,15,31,4251648,173.96847941954235,46.13333333333334,011001011001110100101001101100
90,1 3 4 6,17,31,4497408,176.0479209612222,48.8,101100110011011110101001101100
91,0 1 3 4 6,17,39,5572608,220.8804726596842,60.46666666666667,011111101001011110101001100100
92,2 3 4 6,12,28,3950592,158.31377633911535,42.866666666666674,101010001100110100100001100100
93,0 2 3 4 6,14,36,5025792,203.1463280375774,54.53333333333333,011001010110110100100001101100
