u,v,graph_distance,shortest_path_count,all_simple_path_count,exact_word_cost_transposition,best_optical_cost_over_shortest_paths,best_optical_cost_over_simple_paths,best_simple_can_use_longer_path
15,16,3,1,716,5,1376256,718848,True
15,17,3,1,716,5,1204224,724992,True
15,18,3,1,716,5,540672,540672,False
15,19,4,2,748,7,1130496,1130496,False
16,17,1,1,561,1,82944,82944,False
16,18,3,1,716,5,1394688,534528,True
16,19,2,1,589,3,608256,608256,False
17,18,2,1,589,3,1228800,368640,True
17,19,1,1,561,1,442368,442368,False
18,19,1,1,561,1,393216,393216,False
