cycle_id,length,optical_action,connection_product,connection_log_action,entropy_proxy_A_over_4WD6,vertices,vertex_labels,edge_ids,turn_addresses
0,8,1075200,29548117155177824256,44.83255169846203,11.666666666666666,2 15 14 1 0 4 8 3 2,"{B-,B+,S-} -> {B+,S-,S+} -> {B+,V+,S+} -> {B-,B+,V+} -> {B-,B+,V-} -> {B-,V-,V+} -> {B-,V+,S+} -> {B-,B+,S+} -> {B-,B+,S-}",7 26 4 0 1 10 8 5,B+ B+ B+ B+ B- B- B- B-
1,8,1320960,236384937241422594048,46.91199324014187,14.333333333333334,2 15 14 1 7 9 6 5 2,"{B-,B+,S-} -> {B+,S-,S+} -> {B+,V+,S+} -> {B-,B+,V+} -> {B-,V+,S-} -> {B-,S-,S+} -> {B-,V-,S+} -> {B-,V-,S-} -> {B-,B+,S-}",7 26 4 3 16 14 12 6,S- B+ B+ V+ B- B- B- B-
2,5,774144,4696546738176,29.17784861803507,8.4,3 8 4 10 12 3,"{B-,B+,S+} -> {B-,V+,S+} -> {B-,V-,V+} -> {B+,V-,V+} -> {B+,V-,S+} -> {B-,B+,S+}",8 10 11 20 9,S+ B- V+ V- B+
3,10,1191936,516973857746991213182976,54.60227926081865,12.933333333333334,5 6 9 7 1 0 4 10 12 18 5,"{B-,V-,S-} -> {B-,V-,S+} -> {B-,S-,S+} -> {B-,V+,S-} -> {B-,B+,V+} -> {B-,B+,V-} -> {B-,V-,V+} -> {B+,V-,V+} -> {B+,V-,S+} -> {V-,S-,S+} -> {B-,V-,S-}",12 14 16 3 0 1 11 20 24 13,V- B- B- B- B- B- V- V- V- V-
4,8,1081344,24931223849681289216,44.66265266166664,11.733333333333333,6 9 7 1 0 11 16 17 6,"{B-,V-,S+} -> {B-,S-,S+} -> {B-,V+,S-} -> {B-,B+,V+} -> {B-,B+,V-} -> {B+,V-,S-} -> {V-,V+,S-} -> {V-,V+,S+} -> {B-,V-,S+}",14 16 3 0 2 23 27 15,S+ B- B- B- B+ V- V- V-
5,5,691200,3131031158784,28.772383509926904,7.5,7 1 0 11 16 7,"{B-,V+,S-} -> {B-,B+,V+} -> {B-,B+,V-} -> {B+,V-,S-} -> {V-,V+,S-} -> {B-,V+,S-}",3 0 2 23 17,V+ B- B+ V- S-
6,5,903168,9393093476352,29.87099579859502,9.8,8 4 0 1 14 8,"{B-,V+,S+} -> {B-,V-,V+} -> {B-,B+,V-} -> {B-,B+,V+} -> {B+,V+,S+} -> {B-,V+,S+}",10 1 0 4 18,V+ B- B- B+ V+
7,5,1069056,16698832846848,30.446359943498578,11.6,9 7 1 14 15 9,"{B-,S-,S+} -> {B-,V+,S-} -> {B-,B+,V+} -> {B+,V+,S+} -> {B+,S-,S+} -> {B-,S-,S+}",16 3 4 26 19,S- B- V+ B+ S+
8,5,374784,440301256704,26.810725003903457,4.066666666666666,10 4 0 11 13 10,"{B+,V-,V+} -> {B-,V-,V+} -> {B-,B+,V-} -> {B+,V-,S-} -> {B+,V+,S-} -> {B+,V-,V+}",11 1 2 22 21,V+ V- V- B+ B+
9,5,992256,12524124635136,30.158677871046798,10.766666666666667,17 16 11 13 19 17,"{V-,V+,S+} -> {V-,V+,S-} -> {B+,V-,S-} -> {B+,V+,S-} -> {V+,S-,S+} -> {V-,V+,S+}",27 23 22 25 28,V+ V- S- S- V+
10,8,1090560,16620815899787526144,44.257187553558474,11.833333333333334,18 12 10 4 0 11 13 19 18,"{V-,S-,S+} -> {B+,V-,S+} -> {B+,V-,V+} -> {B-,V-,V+} -> {B-,B+,V-} -> {B+,V-,S-} -> {B+,V+,S-} -> {V+,S-,S+} -> {V-,S-,S+}",24 20 11 1 2 22 25 29,S+ V- V- V- V- B+ S- S-
