graph_distance,pair_count,min_word_cost,max_word_cost,min_optical_shortest,max_optical_shortest,min_optical_simple,max_optical_simple,longer_path_improves_count
1,30,1,1,27648,442368,27648,442368,0
2,60,3,3,110592,1228800,110592,737280,19
3,60,5,5,239616,1523712,239616,1314816,33
4,30,7,7,396288,1130496,396288,1130496,11
5,10,9,9,589824,915456,589824,915456,2
