closure_row_id,relation_id,original_support_flag,added_by_leak_flag,block_i,block_j,rep0,rep1,rep2,rep3,rep4
0,155,1,0,1,1,1,1,102,1567,6
1,156,1,0,1,1,1,1,102,1569,12
2,157,1,0,1,1,1,1,102,1574,6
3,158,1,0,1,1,1,1,102,1576,12
4,159,1,0,1,1,1,1,102,2102,12
5,160,1,0,1,1,1,1,102,2103,3
6,161,1,0,1,1,1,1,102,2107,12
7,162,1,0,1,1,1,1,102,2109,3
8,163,1,0,1,1,1,1,102,102,1
9,164,1,0,1,1,1,1,102,1162,6
10,165,1,0,1,1,1,1,102,1698,6
11,166,1,0,1,1,1,1,102,2473,1
12,886,1,0,5,5,5,5,18,2055,12
13,890,1,0,5,5,5,5,18,2061,12
14,893,1,0,5,5,5,5,18,18,1
15,895,1,0,5,5,5,5,18,2067,6
16,896,1,0,5,5,5,5,18,22,6
17,897,1,0,5,5,5,5,18,2070,6
18,907,1,0,5,5,5,5,18,37,12
19,908,1,0,5,5,5,5,18,2083,6
20,909,1,0,5,5,5,5,18,42,6
21,910,1,0,5,5,5,5,18,43,3
22,912,1,0,5,5,5,5,18,2086,3
23,916,1,0,5,5,5,5,18,53,6
24,917,1,0,5,5,5,5,18,55,3
25,921,1,0,5,5,5,5,18,70,12
26,923,1,0,5,5,5,5,18,74,6
27,926,1,0,5,5,5,5,18,79,6
28,927,1,0,5,5,5,5,18,2173,6
29,928,1,0,5,5,5,5,18,2266,12
30,930,1,0,5,5,5,5,18,2273,6
31,932,1,0,5,5,5,5,18,2277,3
32,934,1,0,5,5,5,5,18,235,3
33,935,1,0,5,5,5,5,18,236,6
34,938,1,0,5,5,5,5,18,239,6
35,940,1,0,5,5,5,5,18,2284,3
36,941,1,0,5,5,5,5,18,2285,6
37,943,1,0,5,5,5,5,18,2292,6
38,945,1,0,5,5,5,5,18,258,12
39,951,1,0,5,5,5,5,18,266,6
40,954,1,0,5,5,5,5,18,2309,6
41,955,1,0,5,5,5,5,18,271,3
42,956,1,0,5,5,5,5,18,298,3
43,960,1,0,5,5,5,5,18,2429,12
44,961,1,0,5,5,5,5,18,2430,6
45,962,1,0,5,5,5,5,18,2436,6
46,964,1,0,5,5,5,5,18,421,12
47,965,1,0,5,5,5,5,18,422,6
48,969,1,0,5,5,5,5,18,431,6
49,973,1,0,5,5,5,5,18,2532,3
50,975,1,0,5,5,5,5,18,2557,1
51,977,1,0,5,5,5,5,18,544,1
52,978,1,0,5,5,5,5,18,554,3
53,981,1,0,5,5,5,5,18,682,3
54,982,1,0,5,5,5,5,18,802,3
55,983,1,0,5,5,5,5,18,2031,1
56,151,0,1,1,1,1,1,102,1536,48
57,152,0,1,1,1,1,1,102,1537,4
58,153,0,1,1,1,1,1,102,1555,12
59,154,0,1,1,1,1,1,102,1566,48
