generator_id,identity_extension_residual_nonzero_count,identity_extension_preserved_flag,identity_extension_nonzero_count,identity_extension_nonidentity_count
0,127469,0,802,787
1,128750,0,789,769
2,120874,0,741,729
3,127901,0,840,822
4,85902,0,441,401
5,84894,0,446,408
6,87495,0,519,482
7,98930,0,564,526
8,82229,0,402,364
