core_interval_id,source_node_id,target_node_id,graph_distance,interval_node_count,shortest_path_count,min_signature_union_count,endpoint_poincare_distance_x1e10
0,10,10,0,1,1,167,0
1,10,17,1,2,1,167,498528095
2,10,19,1,2,1,167,1989903044
3,10,32,1,2,1,167,603740977
4,10,34,1,2,1,167,1935526928
5,13,13,0,1,1,165,0
6,13,19,1,2,1,165,448225904
7,13,28,1,2,1,165,284193792
8,13,38,1,2,1,155,2004501073
9,13,41,1,2,1,165,602142590
10,13,43,1,2,1,155,1942843248
11,13,44,1,2,1,165,2453959784
12,17,17,0,1,1,171,0
13,17,19,1,2,1,171,1537692837
14,17,32,1,2,1,171,284368537
15,17,42,1,2,1,171,1999491715
16,19,19,0,1,1,173,0
17,19,34,1,2,1,173,283881986
18,19,38,2,4,2,155,1557400513
19,19,44,1,2,1,173,2006504745
20,28,28,0,1,1,169,0
21,28,34,1,2,1,169,447531634
22,28,38,1,2,1,155,1880028266
23,28,41,1,2,1,167,496637978
24,28,43,1,2,1,155,1994339405
25,28,44,1,2,1,169,2328853769
26,32,32,0,1,1,175,0
27,32,34,1,2,1,175,1536147670
28,32,42,1,2,1,175,1876343784
29,34,34,0,1,1,177,0
30,34,38,2,4,2,155,1433954616
31,34,44,1,2,1,177,1882171461
32,38,38,0,1,1,155,0
33,38,41,1,2,1,155,1406127982
34,38,43,1,2,1,155,1229175072
35,38,44,1,2,1,155,449953010
36,41,41,0,1,1,167,0
37,41,42,1,2,1,167,1420912866
38,41,43,1,2,1,155,1543910678
39,41,44,1,2,1,167,1856056236
40,42,42,0,1,1,183,0
41,42,43,2,4,2,155,2317443114
42,42,44,1,2,1,183,1539634214
43,43,43,0,1,1,155,0
44,43,44,1,2,1,155,1434519593
45,44,44,0,1,1,185,0
